ac,series,hzname,top,bottom
3782,STARBOARD,Oi,0,3
3771,UMA,IIC,15,140
3769,ASTA,02,5,3
3769,ASTA,01,3,4
3740,LEWISFLAT,Oi,0,8
3684,TANOB,C,71,72
3638,HALLIHAN,0i,5,6
3625,REDSWALE,Bqm,18,19
3616,ROOP,O,5,6
3601,TIONESTA,Oi,8,0
3593,HALAWA,2C2,147,157
3568,RODEO,B22t,74,102
3568,RODEO,B24t,147,190
3568,RODEO,B23t,102,147
3560,CHRISTOPHER,Oi,0,3
3535,CEDARGROVE,0i,3,4
3530,SPINE,Oi,0,3
3525,LITERR,Oi,0,3
3522,BURMAN,2Bqm,74,122
3522,BURMAN,4C,183,203
3512,HALF DOME,Oi,0,8
3477,SCOUTCAMP,Oi,0,3
3473,ROGERVILLE,Oi,0,5
3468,JANILE,Oi,5,0
3458,BRANSCOMB,Oi,0,5
3458,BRANSCOMB,C,132,200
3458,DEMOX,0,3,0
3456,THOMS,A1,0,15
3455,WOLFCUT,Oi,0,3
3426,VALCREEK,Oi,8,0
3422,WELOY,O1,3,4
3393,ERIG,Oi,0,3
3375,BUCKSHOT,Oi,1,2
3372,SIBELIA,Oi/Oe,0,18
3370,ROLOC,0i,0,3
3280,MELODY,Oi,0,3
3262,HUYSINK,01,3,0
3247,THERMALITO,3Bqm,81,152
3233,MCNAB,Oi,1,2
3232,SITKUM,Oi,3,4
3225,VENADO,Bss,33,76
3218,CHINACAMP,Oi,0,3
3216,HANGTOWN,Oi,1,0
3190,OBOSHIP,Oi,0,3
3178,CARIOCA,B2t,76,102
3178,CARIOCA,Al,0,18
3178,CARIOCA,B3t,102,142
3178,CARIOCA,C2r,165,190
3169,HALYARD,Oi,0,5
3167,VICEE,Oi,0,3
3166,OREGONGULCH,Oi,0,3
3163,GIBNEY,Oi,8,9
3158,YAP,O1,5,3
3158,YAP,O2,3,4
3138,SHADOWLAKE,Oi,0,3
3102,POLLASKY,inches,76,77
3080,VITZTHUM,Oi,3,0
3059,ZEUGIRDOR,Oi,5,0
3059,ZEUGIRDOR,C,0,28
3024,IO,2C,76,99
3012,PANTHERCREEK,Cg,171,226
3012,PANTHERCREEK,Oi,0,6
3000,GANSNER,0,5,6
3000,GLEASON,Oi,3,0
2981,PARAGON,O,3,4
2975,MARLA,Oi,0,8
2941,MEDICI,Oi,5,0
2940,DIXMINE,Oi,0,3
2940,DIXMINE,Oe,3,4
2937,JACKMORE,Oa,0,2
2936,BLANKOUT,Oi,3,0
2935,BIGFROG,Bkqm2,81,97
2935,BIGFROG,C,97,152
2935,BIGFROG,Bkqm1,46,81
2917,JABU,0i,0,3
2917,JABU,C,170,185
2911,KOLEKOLE,B23,64,81
2895,NANSEPSEP,Cg,99,150
2870,SIERRAVILLE,B21t,61,122
2870,SIERRAVILLE,2,0,1
2870,SIERRAVILLE,B22t,122,190
2836,MIERUF,0,3,0
2830,LAKETWIN,2C,82,200
2830,LAKETWIN,Oi,0,2
2807,HOURLAND,Oi,0,1
2796,MALA,C2,33,89
2762,EXEL,Bqm2,109,119
2762,EXEL,Al,,13
2730,PHOENIX,Bss2,51,84
2718,MURRIETA,B22t,33,43
2710,MUSTY,O,3,4
2698,KALAE,C,157,170
2688,LOGTRAIN,Oi,0,3
2682,DEVILSHOLE,C,120,155
2672,RANGERTAFT,Oi,0,5
2636,MAREPAS,Oi,0,1
2632,PROVIG,O,3,0
2632,USAL,Bt1,41,58
2632,USAL,Oi,0,5
2632,USAL,C,89,200
2609,HONOLUA,C,147,178
2606,WALKERMINE,Oi,0,3
2603,HALEIWA,C1,66,91
2603,HALEIWA,C3,122,165
2591,KINGRANGE,C,65,200
2589,DELMEXICO,Oi,0,2
2587,LOSTSPRING,AC,5,61
2587,LOSTSPRING,2Bwbl,61,97
2587,LOSTSPRING,A,,5
2577,HAVENSNECK,Oi,5,6
2570,HOBIT,Oi,3,4
2560,KAUPO,IIC2,69,70
2546,DEJONAH,Oi,0,3
2502,STAGPOINT,Oi,0,1
2498,DEWMINE,0,3,4
2494,BARHISKEY,O,3,4
2468,MUDWASH,Oi,0,3
2468,MUDWASH,Oa,3,10
2445,MANU,A,0,8
2445,MANU,4Bw,24,27
2445,MANU,6Bw,42,46
2445,MANU,C1,8,10
2445,MANU,7C4,65,81
2434,HOWLER,C,90,180
2411,POWDERHOUSE,Oi,0,5
2398,TISHTANG,Oi,0,2
2394,CARLAIN,Oi,3,4
2382,MARMOTLAND,Oi,0,0
2380,SMITHNECK,Bt,58,81
2380,SMITHNECK,Ap,,15
2380,SMITHNECK,A2,15,38
2380,SMITHNECK,C,81,122
2380,SMITHNECK,AB,38,58
2380,SMITHNECK,2C,122,152
2378,PAIGE,3Cd,157,158
2378,PAIGE,Oi,0,8
2358,LONGJOHN,Oi,0,3
2354,FALLAGER,3Bqm,18,19
2353,ORSET,Oi,1,2
2345,KEPHART,Oi,8,0
2321,CHUMMY,O1,5,0
2303,PROSPECTPEAK,Oi,0,3
2279,WAFAP,2Bqm,117,118
2257,REINA,Bkqm,46,66
2254,MAC,Oi,0,3
2242,MEDLAKE,0i,3,0
2235,TANTALUS,IIC,74,75
2214,CALLAT,Oi,0,1
2204,WINERTON,Cg,86,152
2167,TREGONING,Oi,5,0
2148,ELAM,Oe,5,0
2144,HOLDON,2C,58,119
2111,THWOOP,Bqkm,64,69
2109,WAFLA,Oi,3,4
2055,SONAHNPIL,Oi,0,3
2053,HARROUN,Bkqm,41,56
2052,SHENANDOAH,A12,15,43
2046,WEBILE,Oap2,23,41
2045,CARRCREEK,Bt2,74,127
2045,CARRCREEK,2Bt3,127,152
2045,CARRCREEK,A,20,30
2045,CARRCREEK,Bt1,30,74
2016,TWINBUTTES,Oi,3,0
1978,WHORLED,Oi,8,9
1970,BEARGULCH,Oi,3,0
1970,BUTTEWASH,Oi,0,3
1961,SOUTHMOUNT,Oi,3,0
1939,CHALONE,Oi,0,3
1932,LOFFTUS,3C,127,152
1931,KNEERIDGE,Oi,0,4
1879,ACROPH,Oi,0,3
1848,TAYLORPEAK,C1,90,120
1848,TAYLORPEAK,C2,120,180
1846,MIASOTUS,Oe,0,3
1840,DARBY,0i,3,4
1813,REINECKE,Oi,5,6
1807,BOSUN,Oe,5,15
1807,BOSUN,Oi,0,5
1785,ROOTCREEK,Oi,0,5
1777,VERJELES,Oi,1,0
1764,HIETANEN,Oi,0,3
1734,SONGSONG,A,0,15
1730,IVERSEN,Oi,3,4
1728,SOMBRERO,3C2,145,170
1703,FORESTAY,Oi,0,5
1696,KOOLAU,01,5,6
1660,RETSONGULCH,Oi,0,3
1646,STONEHILL,Oi,0,3
1646,STONEHILL,Oa,3,13
1642,ARMYDRAIN,Ap,0,18
1640,INKOSR,C1g,46,74
1640,INKOSR,C2g,74,150
1633,VANVOR,Oi,3,0
1602,KITTLESON,0i,8,9
1602,MERBETH,Oi,0,3
1600,BADGERWASH,Oi,0,3
1597,KALOKO,IIC4gsa,109,152
1593,BRAMLET,Oi,0,3
1565,CHUCHUPATE,Oi,0,3
1562,KOKO,IIC,122,123
1552,MAKENA,IIC3,112,113
1539,CABINPINE,Oi,0,5
1529,BIGHILL,0,3,0
1508,ULUPALAKUA,IIC,84,85
1506,TABLEROCK,O,4,5
1486,WEDDERBURN,Oi,0,3
1484,HAPPYISLES,Oi,0,8
1456,COMPTCHE,Oi,3,4
1453,HARECREEK,Oi,5,6
1442,TISHAR,0i,3,4
1438,QUAKING,Oi,3,0
1423,CERPONE,Oe,3,4
1423,CERPONE,Oi,0,3
1410,DITTMAR,Oi,0,3
1404,POLEBAR,B3t,46,53
1402,NOYO,01,5,0
1400,HENDAP,Oi,0,3
1385,BILLSCABIN,Oi,0,5
1372,SHAKERIDGE,Oi,0,5
1369,LANDELSPARK,Oi,0,3
1369,SNOWBRIER,O,3,4
1350,ONEIDAS,Oi,0,3
1347,KINGSIRON,Oi,0,3
1341,SLACREEK,O,1,0
1335,CEEBEE,Oe,3,5
1335,CEEBEE,Oi,0,3
1334,BUNSELMEIER,C4,122,157
1332,DENISON,Bt3,86,114
1330,CHAOS,Oi,0,1
1281,HIGHPEAKS,Oi,0,5
1272,NGERUNGOR,Oe1,0,38
1271,ESPA,Oi,0,7
1270,DEMOGUL,Oi,5,0
1265,ALAONE,C/B,13,47
1265,ALAONE,C,47,195
1265,MCNAIR,Oi,0,8
1238,BURIBURI,O,5,6
1202,KEAAU,B21,38,66
1202,KUSALSLOUGH,Bw,30,53
1198,CARGENT,Oi,3,0
1194,PAPAA,C4,102,103
1178,WATSONLAKE,Oi,0,5
1169,SUNHOFF,Oi,0,3
1158,KILLET,O,5,6
1152,KINGSBEACH,Oi,0,3
1140,SHAKESPEARE,0i,0,3
1139,SMIDALE,Oi,0,3
1131,WATCHABOB,Al,0,13
1131,WATCHABOB,C,66,71
1131,WATCHABOB,A2,13,23
1115,GLENALPINE,Cd,128,150
1100,KAPAPALA,2C,23,33
1088,CRETHERS,Oe,0,5
1088,NEKKEN,O1,3,4
1067,ASHBUTTE,Oi,0,5
1066,GUERIN,Oi,3,4
1055,DEKKAS,Oi,5,0
1052,PENDOLA,0,3,0
1040,CASCADESPRINGS,Oi,0,1
1039,SMOKEHOUSE,Oi,0,4
1036,BIDART,Oa,0,7
1036,BIDART,C,40,43
1024,TRIBOARD,Oi,0,3
1023,TUNITAS,Ap,0,20
1023,TUNITAS,BA,20,46
1018,ASPENLAKE,2Bqm,66,152
1012,GREENWELL,Oi,0,5
1012,GREENWELL,Oe,5,8
1002,ABORIGINE,Oi,0,8
978,FINOL,B1,13,20
954,LOADLINE,Oi,0,0
949,DONTWANNA,Bkqm,66,152
948,STINGER,Oi,0,1
944,PIIHONUA,Bd,71,99
932,BOARDCAMP,Oi,0,3
927,GLENBLAIR,Oi,5,6
917,TIMBERISLAND,Oe,4,8
917,TIMBERISLAND,Oi,0,4
912,NOIO,2C2,10,86
908,PURSER,Bt,5,38
893,THREEFORKS,Oi,3,4
891,UBAJ,Oi,0,1
885,MOOMER,Oi,0,4
859,FISHROCK,0i,3,4
844,DOOLYVILLE,Cg2,55,79
829,DIAMONDPEAK,Oi,0,3
827,SHASTINA,0,10,0
814,GIBWELL,0i,5,6
793,TAFUNA,2C,46,109
781,MT. OLIVE,C2,89,152
777,HAMMERSLEY,Oi,8,9
762,CRAGWASH,Oi,0,5
759,BANADERU,0i,3,0
759,BANADERU,Al,0,3
748,SUMMERTOWN,Oi,0,5
748,SUMMERTOWN,Oa,5,10
737,DEERHILL,Oi,0,3
733,LONGSHORE,Oi,0,3
726,FIRSTSISTER,Oi,0,5
688,KUNUWEIA,B22,61,152
686,SCOTIABLUFFS,Oi,0,6
679,WHITEFACE,2Bt,30,41
679,WHITEFACE,2Bqm,41,58
663,WIGI,Oi,0,2
658,HAA,2Bw3,36,51
658,HAA,2Bw2,25,36
658,HAA,Bw1,18,25
658,HAA,2Bw4,51,64
658,HAA,3Bw,91,109
656,SOUTHCAMP,Oe,3,5
656,SOUTHCAMP,Oi,0,3
582,SCUFFE,Oi,0,5
554,HOUDA,Oi,0,3
549,MACOOL,Oi,0,3
535,KI,4Bw6,97,105
535,KI,4C,105,110
535,KI,5Bw1,110,121
531,RAINGAGE,Cg2,140,150
519,HALEMAUMAU,2C,61,71
517,LAVATOP,Oi,0,1
509,FLUMEWALL,Oi,0,1
508,SNOWLIN,O,0,6
505,DOMPIER,Oi,5,6
489,RUDDER,Oi,0,5
489,RUDDER,Oe,5,10
483,NEEDAVAR,2Bqm,79,102
455,FREELPEAK,C,0,4
426,VONDERGREEN,Oi,0,3
403,ICEETAX,2Bqkm,48,66
377,CAVEROCK,Oi,0,2
377,CAVEROCK,Oe,2,5
359,ZEPHYRCOVE,Oe,6,11
359,ZEPHYRCOVE,Oi,0,6
349,FRIGATE,Oe,0,8
334,FLOATYBOG,A,61,74
294,STARBRIGHT,Oi,0,8
244,BENEDICTO,A,0,10
237,HUFFLING,3Cd,165,166
234,LEIDIG,Oi,0,3
228,GUNWALE,Oe,3,5
228,GUNWALE,Oi,0,3
218,ELCAPITAN,Oi,0,3
197,TIGER CREEK,A0,5,0
194,DESERTMANN,Bkqm,89,99
192,PIRAPEAK,Oi,0,3
192,TALVED,Oi,0,3
158,MENEHUNE,2A,6,7
158,MENEHUNE,Oa,0,5
157,GENOAPEAK,C1,19,40
157,GENOAPEAK,Oi,0,4
157,GENOAPEAK,C2,40,152
57,SENTINEL,Oi,0,3
24,PINNCAMP,Oi,0,5
24,PINNCAMP,Oe,5,10
