ac,series,hzname,top,bottom
30202,BAMTUSH,Oi,3,4
30180,LOVENESS,Oi,3,0
29771,KUCK,B21t,15,20
29771,KUCK,A12,8,15
29771,KUCK,All,,8
29771,KUCK,B22t,20,28
29771,KUCK,B23t,28,51
29771,KUCK,B3t,51,81
29767,WALNETT,0i,0,2
29288,HANGROCK,Bqkm,61,152
29288,HANGROCK,Bqm,43,61
28827,REVIT,Oi,5,6
28822,TINKER,0,3,4
28773,SHASTA,Oi1,10,3
28773,SHASTA,Oi2,3,0
28508,JOECUT,Oi,0,3
28394,TRAMWAY,Oi,5,6
28230,MUIRAL,Oe,3,8
28230,MUIRAL,Oi,0,3
27299,KEYES,2C,76,152
27248,HOTEL,0,5,6
26939,IDWAY,2Cqk,69,152
26870,OMNI,IIIACb3g,122,152
26801,CRAFTON,02,1,2
26738,MAWAE,2C2,13,102
26738,MAWAE,Oa/2C1,0,13
25597,DARKWOODS,Oi,0,4
25474,SKYMOR,0i,3,4
25430,WIREGRASS,Oi,0,3
25425,VANDAMME,0i,3,4
25270,SURNUF,Oi,3,0
24936,HOLLOWTREE,Oi,0,5
24701,ALTHOUSE,0i,3,4
24650,RAMELLI,Bg2,36,46
24650,RAMELLI,Bg1,18,36
24642,ORAGRAN,0i,0,2
24504,TUSTELL,2Ckq,76,150
24313,HOTAW,Oi,3,4
24073,INPENDENCE,Oi,0,5
24073,INPENDENCE,Oe,5,10
24039,OUTLAND,Oi,8,9
23934,PUHIMAU,Bw,8,14
23934,PUHIMAU,A,0,8
23711,TAHOMA,Oi,0,8
23618,PUNA,2C2/Oa2,8,33
23618,PUNA,2C4,64,76
23618,PUNA,Oa1/2C1,0,8
23618,PUNA,2C3,33,64
23597,DUNSMUIR,0,1,2
23004,TECTAH,Oi,0,5
22863,CRAZYMULE,Oi,0,0
22829,REDTOP,Oe,0,6
22702,COBOC,O1,3,0
22653,SKYHIGH,Bt3,56,76
22653,SKYHIGH,Bt4,76,97
22653,SKYHIGH,A,,5
22505,PINYONPEAK,Ct,15,20
22455,WHITEHILLS,2Bkqm,69,70
22401,HULLYGULLY,C2,155,180
22301,CHINEN,Oi,1,0
22229,LEDFORD,01,3,4
21719,PERDIN,0i,5,6
20956,OFFENBACHER,O,3,4
20723,HILEA,Oa,0,1
20275,ILLER,02,3,4
20066,STRAIGHT,O2,3,4
20066,STRAIGHT,O1,5,3
20040,OBIE,02,3,0
19534,UPDEGRAFF,0i,3,4
19524,SAID,Oi,0,5
19341,TATOUCHE,O,5,6
19207,GIBSONVILLE,0,8,0
19201,MONTAGUE,IIC3r,91,92
19103,WHITTELL,Oi,0,1
19025,WOODCHOPPER,0i,8,9
18932,NEWPASS,Bqkm,61,66
18751,NOVATO,C3g,102,152
18744,PORTOLA,B21,25,53
18744,PORTOLA,B3,79,99
18744,PORTOLA,B22,53,79
18744,PORTOLA,01,5,6
18744,PORTOLA,A1,0,8
18744,PORTOLA,B1,8,25
18689,CARBERRY,Oi,8,0
18537,MOUSER,Oi,0,5
18375,GOULDER,Oi,3,0
18349,CASSENAI,Oi,0,2
18322,FORBES,O,5,6
18309,KUANENE,Oi,0,2
17910,WHITINGER,Oi,4,0
17739,PARADISO,Oi,0,5
17698,FLEENER,Oi,3,0
17674,CROW HILL,B2,71,79
17674,CROW HILL,All,0,8
17674,CROW HILL,A12,8,46
17674,CROW HILL,A13,46,71
17637,STONEWELL,A,,10
17637,STONEWELL,C2,91,157
17637,STONEWELL,C1,36,91
17637,STONEWELL,AC,10,36
17637,STONEWELL,01,3,0
17360,LOBITOS,01,1,0
17309,TEMESCAL,A12,15,33
17309,TEMESCAL,All,0,15
17309,TEMESCAL,B2,33,43
17291,REDRIVER,0,3,0
