"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"C",61,99,"10YR",5,4,"",,,"Cima",2
"R",99,0,"",,,"",,,"Cima",2
"A",0,5,"10YR",5,3,"",,,"Xyno",2
"C",5,28,"10YR",5,3,"",,,"Xyno",2
"Cr",28,51,"",,,"",,,"Xyno",2
"A11",0,10,"10YR",3,3,"",,,"Kitchen",2
"A12",10,30,"10YR",3,3,"",,,"Kitchen",2
"A13",30,53,"10YR",4,3,"",,,"Kitchen",2
"B1",53,71,"10YR",6,2,"",,,"Kitchen",2
"B2t",71,107,"10YR",6,3,"",,,"Kitchen",2
"B3t",107,137,"10YR",7,3,"10YR",6,3,"Kitchen",2
"C1",137,185,"10YR",8,2,"10YR",3,1,"Kitchen",2
"A11",0,3,"10YR",5,3,"10YR",4,2,"Reefridge ",2
"A12",3,13,"2.5Y",6,4,"2.5Y",4,4,"Reefridge ",2
"A13",13,36,"2.5Y",6,4,"2.5Y",4,4,"Reefridge ",2
"C1",36,41,"2.5Y",6,4,"2.5Y",4,4,"Reefridge ",2
"C2cacs",41,117,"2.5Y",5,4,"2.5Y",4,4,"Reefridge ",2
"Cr",122,0,"5Y",6,2,"2.5Y",6,6,"Reefridge ",2
"A1",0,20,"10YR",5,2,"",,,"Stopatoe",2
"A2",20,36,"10YR",5,2,"",,,"Stopatoe",2
"Bt1",36,53,"10YR",5,4,"",,,"Stopatoe",2
"Bt2",53,79,"7.5YR",5,4,"7.5YR",4,4,"Stopatoe",2
"Cr",79,104,"",,,"",,,"Stopatoe",2
"A1",0,18,"10YR",5,2,"10YR",3,1,"Duff",2
"A2",18,36,"10YR",5,2,"",,,"Duff",2
"A3",36,53,"10YR",5,2,"",,,"Duff",2
"A4",53,69,"10YR",5,3,"",,,"Duff",2
"AC",69,94,"10YR",6,3,"10YR",4,3,"Duff",2
"C",94,145,"10YR",6,4,"10YR",4,4,"Duff",2
"R",145,152,"",,,"",,,"Duff",2
"Ap",0,25,"2.5Y",5,2,"",,,"Rossi",2
"Btn",25,53,"5Y",5,1,"5Y",3,1,"Rossi",2
"Btkn",53,107,"5Y",5,1,"5Y",3,1,"Rossi",2
"C1",107,137,"5Y",6,1,"2.5Y",4,2,"Rossi",2
"C2",132,152,"5Y",6,1,"2.5Y",4,2,"Rossi",2
"A1",0,15,"10YR",2,2,"10YR",4,2,"Paradise",2
"A2",15,48,"10YR",2,2,"10YR",4,1,"Paradise",2
"Bg",48,97,"10YR",6,2,"5YR",4,4,"Paradise",2
"Bk",97,152,"10YR",7,2,"10YR",8,1,"Paradise",2
"A",0,15,"2.5Y",3,2,"",,,"Apilam",2
"B",15,28,"2.5Y",4,2,"2.5Y",5,2,"Apilam",2
"2Bw1",28,38,"2.5Y",4,1,"2.5Y",4,4,"Apilam",2
"2Bw2",38,41,"2.5Y",4,1,"2.5Y",4,4,"Apilam",2
"2Bw3",41,69,"2.5Y",4,1,"2.5Y",4,3,"Apilam",2
"2Bw4",69,86,"2.5Y",4,2,"2.5Y",4,4,"Apilam",2
"3Bw5",86,112,"2.5Y",4,4,"2.5Y",4,1,"Apilam",2
"4Bd1",112,117,"2.5Y",4,1,"2.5Y",4,4,"Apilam",2
"4Bd2",117,127,"2.5Y",3,1,"2.5Y",4,2,"Apilam",2
"5C1",127,152,"2.5Y",3,1,"",,,"Apilam",2
"6C2",152,165,"2.5Y",3,1,"",,,"Apilam",2
"7C3",165,170,"2.5Y",3,1,"",,,"Apilam",2
"8Ab",170,203,"2.5Y",3,1,"",,,"Apilam",2
"Ap",,18,"10YR",5,2,"",,,"Corbiere",2
"Bw1",18,36,"10YR",5,2,"10YR",3,2,"Corbiere",2
"Bw2",36,56,"10YR",5,3,"10YR",3,3,"Corbiere",2
"2Bw",56,89,"10YR",5,3,"10YR",3,2,"Corbiere",2
"3Ab",89,117,"2.5Y",5,2,"2.5Y",3,2,"Corbiere",2
"3Bssb1",117,152,"2.5Y",5,2,"2.5Y",3,2,"Corbiere",2
"3Bssb2",152,188,"2.5",5,2,"2.5Y",3,2,"Corbiere",2
"3C1",188,241,"2.5Y",5,2,"2.5Y",4,4,"Corbiere",2
"3C2",244,290,"2.5Y",5,4,"10YR",5,1,"Corbiere",2
"O1",0,10,"5YR",3,2,"10YR",2,2,"Olokui",2
"A1g",10,20,"10YR",2,2,"5YR",2,2,"Olokui",2
"A2g",20,38,"10YR",3,2,"5YR",2,2,"Olokui",2
"Birm",38,41,"5YR",2,2,"",,,"Olokui",2
"C",41,102,"",,,"",,,"Olokui",2
"A1",0,5,"10YR",4,3,"10YR",4,3,"Rodad",2
"A2",5,20,"10YR",6,3,"10YR",4,3,"Rodad",2
"Bt1",18,20,"10YR",6,3,"10YR",4,3,"Rodad",2
"Bt2",20,30,"10YR",6,4,"10YR",4,4,"Rodad",2
"Cr",30,0,"",,,"",,,"Rodad",2
"A1",0,3,"10YR",5,2,"10YR",3,3,"Vinini",2
"A2",3,8,"10YR",7,2,"10YR",4,3,"Vinini",2
"Bt",8,20,"10YR",5,3,"10YR",4,3,"Vinini",2
"Btk",20,33,"10YR",5,3,"10YR",4,3,"Vinini",2
"Bqkm",33,76,"10YR",8,1,"",,,"Vinini",2
"R",76,0,"",,,"",,,"Vinini",2
"A",0,10,"10YR",3,2,"10YR",5,2,"Winlo",2
"Bw",10,23,"7.5YR",3,2,"7.5YR",5,2,"Winlo",2
"2Bqm",23,43,"5YR",4,6,"5YR",5,6,"Winlo",2
"2C1",43,61,"2.5Y",5,4,"10YR",7,4,"Winlo",2
"2C2",107,152,"2.5Y",5,4,"2.5Y",7,4,"Winlo",2
"Ap",0,20,"10YR",6,3,"10YR",4,3,"Sotoran",2
"BA",20,55,"10YR",6,3,"10YR",4,3,"Sotoran",2
"Bk",55,102,"10YR",6,3,"10YR",4,3,"Sotoran",2
"2C",102,162,"10YR",7,4,"10YR",5,4,"Sotoran",2
"A11",0,25,"10YR",5,2,"10YR",3,2,"Reward",2
"A12",25,61,"10YR",5,2,"1-YR",3,2,"Reward",2
"C1",61,99,"10YR",5,2,"10YR",3,2,"Reward",2
"C2",99,152,"10YR",6,3,"10YR",3,3,"Reward",2
"R",152,165,"",,,"",,,"Reward",2
"Oi",0,3,"",,,"",,,"Boomtown",2
"O2",0,3,"",,,"",,,"Boomtown",2
"A11",3,10,"10YR",4,2,"10YR",2,2,"Boomtown",2
"A12",10,38,"10YR",4,3,"10YR",3,2,"Boomtown",2
"A2",38,53,"10YR",6,4,"10YR",5,4,"Boomtown",2
"B2t",53,69,"10YR",7,4,"10Yr",6,8,"Boomtown",2
"B3t",104,135,"10YR",7,6,"10YR",6,8,"Boomtown",2
"C",135,155,"10YR",7,6,"10YR",6,8,"Boomtown",2
"Aknz",0,23,"10YR",7,1,"10YR",4,2,"Boravall",2
"Bkn",23,48,"10YR",7,2,"10YR",4,3,"Boravall",2
"BCkn",48,109,"10YR",7,3,"10YR",4,3,"Boravall",2
"Bkg",109,102,"5Y",7,1,"5Y",3,1,"Boravall",2
"Cg",102,152,"5Y",7,1,"5Y",3,1,"Boravall",2
"Ap",0,3,"10YR",7,2,"10YR",4,2,"Upspring",2
"A2",3,15,"10YR",7,2,"10YR",4,3,"Upspring",2
"Bk",15,20,"10YR",7,3,"10YR",4,3,"Upspring",2
"R",20,0,"",,,"",,,"Upspring",2
"A1",0,13,"10YR",7,2,"10YR",5,3,"Batan",2
"A2",13,23,"10YR",6,3,"10YR",4,3,"Batan",2
"Bq",23,48,"10YR",7,3,"10YR",5,3,"Batan",2
"Bqk1",48,76,"10YR",6,3,"10YR",4,3,"Batan",2
"Bqk2",76,112,"2.5Y",7,2,"2.5Y",5,2,"Batan",2
"Bqk3",112,160,"2.5Y",7,2,"2.5Y",5,2,"Batan",2
"2C",160,173,"10YR",7,3,"2.5Y",4,2,"Batan",2
"A",0,13,"10YR",6,3,"10YR",3,3,"Tulase",2
"C",13,28,"10YR",7,3,"1-YR",4,3,"Tulase",2
"Cq",28,51,"10YR",7,2,"10YR",5,4,"Tulase",2
"Cqk",51,97,"10YR",7,2,"10YR",5,4,"Tulase",2
"Cky",97,147,"10YR",7,2,"10YR",5,4,"Tulase",2
"Cy",147,178,"10YR",7,2,"10YR",5,4,"Tulase",2
"A",0,10,"10YR",6,2,"10YR",4,2,"Newpass",2
"Btn1",10,18,"7.5YR",4,4,"7.5YR",4,4,"Newpass",2
"Btn2",18,36,"7.5YR",4,4,"7.5YR",4,4,"Newpass",2
"Btk",36,43,"10YR",4,4,"10YR",4,4,"Newpass",2
"Bqk",43,61,"7.5YR",5,4,"7.5YR",4,4,"Newpass",2
"Bqkm",61,66,"",,,"",,,"Newpass",2
"R",66,0,"",,,"",,,"Newpass",2
"A",0,10,"10YR",5,2,"10YR",3,2,"Cablab",2
"A2",10,23,"10YR",5,2,"10YR",3,2,"Cablab",2
"A3",23,41,"10YR",5,2,"10YR",5,3,"Cablab",2
"AC",41,69,"10YR",6,3,"10YR",3,3,"Cablab",2
"Ab",69,84,"10YR",5,3,"10YR",3,3,"Cablab",2
"C",84,109,"10YR",6,3,"10YR",3,3,"Corbiere",2
"2C",109,152,"",,,"",,,"Cablab",2
"A",0,5,"10YR",7,2,"10YR",4,3,"Actem",2
"Bt",5,18,"10YR",5,3,"10YR",5,4,"Actem",2
"Btk",18,38,"10YR",6,4,"10YR",4,4,"Actem",2
"Bkqm",38,51,"10YR",8,3,"10YR",6,3,"Actem",2
"2B",51,0,"",,,"",,,"Actem",2
"A1",0,8,"10YR",6,2,"10YR",3,3,"Camptank",2
"A2",8,15,"10YR",6,2,"10YR",4,3,"Camptank",2
"Bt1",15,25,"10YR",4,3,"10YR",4,4,"Camptank",2
"Bt2",25,43,"10YR",5,4,"10YR",4,3,"Camptank",2
"2Bk",43,86,"10YR",5,3,"10YR",4,4,"Camptank",2
"2C",86,104,"10YR",6,3,"10YR",5,3,"Camptank",2
"3R",104,0,"",,,"",,,"Camptank",2
"A1",0,20,"10YR",5,2,"10YR",3,2,"Oquin",2
"A2",20,36,"10YR",5,2,"10YR",3,2,"Oquin",2
"Ak",36,61,"10YR",5,2,"10YR",3,3,"Oquin",2
"Ck",61,76,"10YR",6,2,"10YR",3,3,"Oquin",2
"Cr",79,94,"",,,"",,,"Oquin",2
"A1",0,5,"2.5Y",5,2,"10YR",3,2,"Oquin",2
"A2",5,30,"2.5Y",5,2,"10YR",3,2,"Oquin",2
"B2t",30,66,"10YR",5,3,"10YR",3,2,"Oquin",2
"C",66,0,"",,,"",,,"Oquin",2
"A",0,20,"10YR",5,2,"10YR",2,2,"Fiddler",2
"Bt1",20,28,"7.5YR",5,2,"7.5YR",3,2,"Fiddler",2
"Bt2",28,53,"7.5YR",5,6,"7.5YR",4,4,"Fiddler",2
"Bt3",53,66,"7.5YR",5,6,"7.5YR",4,4,"Fiddler",2
"R",66,0,"",,,"",,,"Fiddler",2
"O1",0,3,"",,,"",,,"Carioca",2
"A1",3,20,"10YR",5,3,"10YR",3,2,"Carioca",2
"A2",20,48,"10YR",6,3,"10YR",3,3,"Carioca",2
"A3",48,79,"10YR",6,3,"10YR",4,3,"Carioca",2
"B2t",79,104,"10YR",6,3,"10YR",4,3,"Carioca",2
"B3t",104,145,"10YR",6,3,"10YR",3,3,"Carioca",2
"C2r",145,193,"",,,"",,,"Carioca",2
"Ap",0,23,"10YR",4,1,"10YR",3,2,"Alamo",2
"Bw1",23,69,"10YR",4,1,"2.5Y",3,2,"Alamo",2
"Bw2",69,94,"10YR",4,2,"10YR",4,2,"Alamo",2
"Bkqm",94,102,"10YR",6,4,"",,,"Alamo",2
"Akn1",0,15,"2.5Y",3,2,"2.5Y",5,2,"Dentdraw",2
"Akn2",15,23,"5Y",3,2,"5Y",5,1,"Dentdraw",2
"Akn3",23,28,"5Y",3,2,"5Y",5,1,"Dentdraw",2
"Akn4",28,46,"5Y",3,2,"5Y",5,1,"Dentdraw",2
"2Bkn",46,69,"5Y",6,2,"5Y",7,1,"Dentdraw",2
"3C1",69,107,"2.5Y",5,3,"2.5Y",7,2,"Dentdraw",2
"3C2",107,132,"2.5Y",5,3,"2.5Y",6,2,"Dentdraw",2
"3C3",132,152,"2.5Y",4,3,"2.5Y",7,2,"Dentdraw",2
"A1",0,3,"10YR",5,2,"10YR",3,2,"Derallo",2
"A2",3,10,"10YR",5,2,"10YR",3,2,"Derallo",2
"AB",10,30,"10YR",5,2,"10YR",3,2,"Derallo",2
"Bt1",30,48,"10YR",5,3,"10YR",3,2,"Derallo",2
"Bt2",48,58,"10YR",5,3,"10YR",3,3,"Derallo",2
"Bt3",58,91,"10YR",5,3,"10YR",4,3,"Derallo",2
"Bt4",91,104,"10YR",6,3,"10YR",4,3,"Derallo",2
"Cr",104,130,"",,,"",,,"Derallo",2
"A1",0,5,"10YR",5,1,"10YR",3,1,"Paranat",2
"A2",5,18,"10YR",5,1,"10YR",3,1,"Paranat",2
"A3",18,50,"10YR",5,1,"10YR",3,1,"Paranat",2
"AC",50,79,"10YR",6,1,"10YR",3,1,"Paranat",2
"C1",79,91,"10YR",7,1,"2.5Y",5,2,"Paranat",2
"C2",91,122,"10YR",7,1,"2.5Y",5,2,"Paranat",2
"Ck",122,150,"10YR",7,2,"10YR",5,2,"Paranat",2
"A",0,10,"5YR",4,4,"",,,"Uwharrie",3
"BA",10,20,"5YR",5,8,"2.5YR",4,6,"Uwharrie",3
"Bt1",20,71,"2.5YR",4,8,"",,,"Uwharrie",3
"Bt2",71,91,"2.5YR",4,6,"10YR",7,6,"Uwharrie",3
"BC",91,178,"2.5YR",4,8,"7.5YR",7,2,"Uwharrie",3
"C",178,251,"2.5YR",4,6,"7.5YR",7,2,"Uwharrie",3
"O1",0,3,"",,,"",,,"Mysten",4
"O2",3,5,"",,,"",,,"Mysten",4
"A1",5,10,"7.5YR",5,2,"7.5YR",3,2,"Mysten",4
"C",10,157,"10YR",5,3,"10YR",4,3,"Mysten",4
"Ap",0,18,"10YR",5,3,"10YR",3,3,"Hagen",4
"Bw",18,38,"10YR",6,3,"10YR",4,3,"Hagen",4
"Bt1",38,74,"10YR",6,3,"10YR",4,3,"Hagen",4
"Bt2",74,132,"10YR",6,4,"10YR",4,4,"Hagen",4
"C",127,152,"10YR",6,4,"",,,"Hagen",4
"A1",0,5,"10YR",3,2,"10YR",2,1,"Adornado",4
"A2",5,28,"10YR",4,2,"10YR",3,2,"Adornado",4
"Bt",28,76,"10YR",5,2,"10YR",3,2,"Adornado",4
"2E",76,119,"10YR",8,1,"10YR",3,2,"Adornado",4
"2E",119,163,"10YR",8,1,"10YR",7,1,"Adornado",4
"2C",163,208,"10YR",8,1,"10YR",7,1,"Adornado",4
"Oi",0,5,"",,,"",,,"Ambrant",4
"Ei",5,15,"10YR",6,2,"10YR",4,2,"Ambrant",4
"E2",15,56,"2.5Y",6,2,"",,,"Ambrant",4
"Bt",56,104,"2.5Y",6,2,"2.5Y",4,2,"Ambrant",4
"Oi",0,5,"",,,"",,,"Ansel",4
"Oe",5,8,"",,,"",,,"Ansel",4
"E",8,20,"10YR",6,2,"10YR",4,2,"Ansel",4
"Bt",20,84,"7.5YR",5,4,"7.5YR",4,4,"Ansel",4
"C",84,152,"2.5Y",5,1,"7.5YR",5,4,"Ansel",4
"A",0,5,"10YR",5,2,"10YR",3,2,"Armenta",4
"Bw",5,25,"10YR",5,3,"10YR",3,3,"Armenta",4
"Bk",25,33,"10YR",6,3,"10YR",4,4,"Armenta",4
"E",33,140,"N",8,0,"",,,"Armenta",4
"C",140,203,"N",8,0,"",,,"Armenta",4
"Oi",0,3,"",,,"",,,"Bendemeere",4
"A",3,8,"10YR",5,3,"10YR",3,2,"Bendemeere",4
"E",8,25,"10YR",7,3,"10YR",5,3,"Bendemeere",4
"Bt1",25,53,"10YR",7,3,"7.5YR",6,4,"Bendemeere",4
"Bt2",53,76,"7.5YR",6,4,"7.5YR",7,4,"Bendemeere",4
"Bt3",76,107,"7.5YR",7,3,"7.5YR",4,4,"Bendemeere",4
"Bt4",107,127,"10YR",6,3,"10YR",4,2,"Bendemeere",4
"BC",127,157,"10YR",6,3,"10YR",4,3,"Bendemeere",4
"O1",0,5,"",,,"",,,"Billycreek",4
"E",5,25,"10YR",7,3,"10YR",5,3,"Billycreek",4
"A",25,66,"10YR",7,3,"10YR",5,3,"Billycreek",4
"R",66,0,"",,,"",,,"Billycreek",4
"Oi",0,3,"10YR",8,1,"10YR",6,2,"Blackburn",4
"Bw1",3,10,"10YR",7,3,"5YR",4,4,"Blackburn",4
"Bw2",10,28,"10YR",7,4,"7.5YR",7,6,"Blackburn",4
"2A",28,43,"10YR",7,2,"10YR",5,4,"Blackburn",4
"2B1",43,91,"10YR",5,4,"10YR",7,3,"Blackburn",4
"2B2",91,107,"7.5YR",5,6,"10YR",6,4,"Blackburn",4
"2Ckb",107,178,"",,,"",,,"Blackburn",4
"A",0,10,"10YR",4,2,"10YR",2,1,"Blackeleed",4
"B1",10,36,"10YR",6,4,"10YR",4,4,"Blackeleed",4
"B2",36,66,"7.5YR",6,6,"7.5YR",4,4,"Blackeleed",4
"C",66,102,"10YR",7,6,"7.5YR",5,6,"Blackeleed",4
"A1",0,18,"10YR",3,2,"10YR",2,2,"Cajete",4
"A2",18,38,"10YR",4,2,"10YR",3,2,"Cajete",4
"Bw",38,84,"10YR",6,3,"10YR",5,4,"Cajete",4
"Bt",84,114,"10YR",7,2,"10YR",6,3,"Cajete",4
"E",114,124,"10YR",7,3,"10YR",6,4,"Cajete",4
"Bt2",124,152,"10YR",7,2,"10YR",6,3,"Cajete",4
"Oe",0,5,"",,,"",,,"Canarway",4
"A",5,15,"10YR",3,1,"10YR",4,2,"Canarway",4
"C1",15,25,"10YR",4,2,"10YR",5,2,"Canarway",4
"C2",25,30,"10YR",4,2,"10YR",5,2,"Canarway",4
"2C3",30,152,"10YR",4,2,"10YR",5,2,"Canarway",4
"O1",0,5,"",,,"",,,"Castelleia",4
"O2",5,8,"",,,"",,,"Castelleia",4
"A1",8,18,"10YR",2,2,"",,,"Castelleia",4
"A2",18,33,"10YR",4,2,"",,,"Castelleia",4
"B",33,56,"10YR",5,2,"",,,"Castelleia",4
"B2t",56,74,"10YR",5,2,"",,,"Castelleia",4
"C1",74,89,"10YR",5,3,"",,,"Castelleia",4
"C2",89,259,"10YR",5,3,"10YR",4,3,"Castelleia",4
"C3",259,0,"",,,"",,,"Castelleia",4
"Oi",0,5,"",,,"",,,"Chickaman",4
"Bw",5,28,"10YR",5,4,"10YR",4,4,"Chickaman",4
"2E",28,51,"10YR",7,2,"10YR",5,2,"Chickaman",4
"Bt",51,81,"10YR",7,2,"10YR",5,3,"Chickaman",4
"2BC",81,152,"10YR",6,4,"10YR",5,4,"Chickaman",4
"Ap1",0,13,"10YR",5,3,"10YR",3,3,"Clayton",4
"Ap2",13,20,"10YR",5,3,"10YR",3,3,"Clayton",4
"Bt1",20,74,"10YR",6,3,"10YR",4,3,"Clayton",4
"Bt2",74,107,"10YR",6,3,"10YR",4,3,"Clayton",4
"Bt3",107,132,"10YR",6,3,"10YR",4,3,"Clayton",4
"C",132,157,"",,,"",,,"Clayton",4
"Ae",0,8,"",,,"",,,"Cora",4
"Alg",8,38,"2.5Y",6,1,"2.5Y",4,1,"Cora",4
"B2g",38,79,"5Y",6,3,"5Y",3,3,"Cora",4
"Cg",79,160,"5Y",7,2,"5Y",4,2,"Cora",4
"A",0,10,"10YR",5,3,"10YR",3,3,"Coyoteflats",4
"Bt1",10,23,"10YR",5,3,"10YR",4,3,"Coyoteflats",4
"Bt2",23,36,"10YR",5,3,"10YR",4,3,"Coyoteflats",4
"Bk1",36,51,"10YR",6,3,"10YR",5,4,"Coyoteflats",4
"Bk2",51,107,"10YR",7,3,"10YR",5,3,"Coyoteflats",4
"C",107,152,"10YR",6,4,"10YR",6,3,"Coyoteflats",4
"A1",0,20,"10YR",5,2,"10YR",3,2,"Dempsey",4
"A2",20,76,"10YR",5,2,"10YR",3,2,"Dempsey",4
"B2t",76,112,"2.5Y",5,3,"2.5Y",4,3,"Dempsey",4
"C",102,152,"2.5Y",6,3,"2.5Y",5,5,"Dempsey",4
"Oi",0,5,"",,,"",,,"Elkner",4
"E1",5,23,"10YR",6,3,"10YR",4,3,"Elkner",4
"E2",23,56,"10YR",6,4,"10YR",4,3,"Elkner",4
"Bt",56,97,"10YR",6,4,"10YR",4,3,"Elkner",4
"BC",97,152,"10YR",6,4,"10YR",4,3,"Elkner",4
"O1",0,3,"",,,"",,,"Elzinga",4
"A1",3,58,"10YR",3,1,"10YR",2,1,"Elzinga",4
"A21",58,69,"10YR",5,3,"10YR",3,3,"Elzinga",4
"A22",69,124,"10YR",6,3,"10YR",4,3,"Elzinga",4
"B",124,160,"10YR",6,3,"10YR",4,3,"Elzinga",4
"R",160,168,"",,,"",,,"Elzinga",4
"A1",0,20,"10YR",4,2,"10YR",2,2,"Garza",4
"A2",20,61,"10YR",5,2,"10YR",3,2,"Garza",4
"C",61,152,"10YR",5,2,"10YR",3,2,"Garza",4
"Ap",0,18,"10YR",5,3,"10YR",4,2,"Green Bluff",4
"Bt1",18,43,"10YR",6,3,"10YR",4,3,"Green Bluff",4
"Bt2",43,74,"10YR",7,2,"10YR",4,3,"Green Bluff",4
"Bt3",74,140,"10YR",6,3,"10YR",4,3,"Green Bluff",4
"C",140,152,"10YR",6,3,"10YR",4,3,"Green Bluff",4
"A",0,18,"5Y",4,2,"5Y",3,2,"Hanksville",4
"Cy",18,46,"5Y",4,2,"5Y",3,2,"Hanksville",4
"Cr",99,0,"",,,"",,,"Hanksville",4
"A",0,10,"10YR",4,2,"10YR",3,3,"Heflin",4
"BAt",10,18,"10YR",5,3,"10YR",4,3,"Heflin",4
"Bt1",18,36,"10YR",5,3,"10YR",4,3,"Heflin",4
"Bt2",36,64,"10YR",5,3,"10YR",4,3,"Heflin",4
"BC",64,91,"10YR",5,4,"10YR",4,4,"Heflin",4
"C",91,142,"10YR",6,3,"",,,"Heflin",4
"Cr",142,0,"",,,"",,,"Heflin",4
"Oi",0,8,"",,,"",,,"Holloway",4
"A",8,33,"10YR",6,4,"10YR",4,4,"Holloway",4
"2E",33,51,"10YR",7,2,"10YR",6,2,"Holloway",4
"Bt",51,140,"10YR",7,2,"10YR",6,3,"Holloway",4
"2C",140,152,"10YR",7,3,"10YR",6,3,"Holloway",4
"Oi",0,3,"",,,"",,,"Irim",4
"Ag",3,30,"10YR",4,1,"10YR",2,1,"Irim",4
"Bwg",30,155,"10YR",5,2,"10YR",4,2,"Irim",4
"Oi",0,3,"",,,"",,,"Kaniksu",4
"A",3,20,"10YR",6,3,"10YR",4,3,"Kaniksu",4
"Bt1",20,36,"10YR",6,4,"10YR",4,4,"Kaniksu",4
"Bt2",36,51,"10YR",6,4,"10YR",5,4,"Kaniksu",4
"Bt3",51,69,"10YR",6,3,"10YR",4,3,"Kaniksu",4
"Bt4",69,122,"10YR",6,3,"10YR",4,3,"Kaniksu",4
"C",122,155,"",,,"",,,"Kaniksu",4
"Oi",0,5,"",,,"",,,"Lantern",4
"E1",5,41,"10YR",7,2,"10YR",5,2,"Lantern",4
"Bt",71,104,"10YR",6,3,"10YR",5,4,"Lantern",4
"BC",104,152,"10YR",7,3,"10YR",5,3,"Lantern",4
"O1",0,5,"",,,"",,,"Leal",4
"O2",5,10,"",,,"",,,"Leal",4
"A2",10,20,"10YR",7,2,"10YR",6,2,"Leal",4
"B2ir",20,51,"10YR",5,4,"10YR",4,4,"Leal",4
"C",51,168,"2.5Y",6,2,"2.5Y",5,3,"Leal",4
"A",0,13,"10YR",6,3,"10YR",4,3,"Lilapoint",4
"Bw1",13,43,"10YR",6,4,"10YR",5,4,"Lilapoint",4
"Bw2",43,56,"10YR",7,4,"10YR",5,4,"Lilapoint",4
"Bw3",56,86,"10YR",7,4,"10YR",5,3,"Lilapoint",4
"C",86,152,"10YR",6,4,"7.5YR",5,4,"Lilapoint",4
"Oi",0,3,"",,,"",,,"Lionwood",4
"A",3,15,"10YR",4,2,"10YR",6,2,"Lionwood",4
"E1",15,46,"10YR",5,3,"10YR",6,3,"Lionwood",4
"E2",46,69,"10YR",5,3,"10YR",6,3,"Lionwood",4
"Bt",69,122,"10YR",7,4,"10YR",7,3,"Lionwood",4
"2Bt",122,135,"10YR",6,4,"10YR",7,4,"Lionwood",4
"3Bt",135,152,"10YR",5,4,"10YR",7,4,"Lionwood",4
"A",0,15,"10YR",6,3,"10YR",4,3,"Losmarios",4
"2Bw",15,46,"10YR",5,2,"10YR",4,2,"Losmarios",4
"2Bk",46,74,"10YR",5,2,"10YR",4,2,"Losmarios",4
"2C",74,152,"10YR",5,2,"10YR",4,2,"Losmarios",4
"Oi",0,2,"",,,"",,,"Lumpgulch",4
"A",2,7,"10YR",4,3,"",,,"Lumpgulch",4
"E",7,18,"10YR",6,2,"10YR",5,3,"Lumpgulch",4
"Bt",18,56,"2.5Y",5,4,"2.5Y",4,4,"Lumpgulch",4
"Cr",56,69,"",,,"",,,"Lumpgulch",4
"R",69,69,"",,,"",,,"Lumpgulch",4
"Oi",0,3,"",,,"",,,"Mammoth",4
"E",3,25,"10YR",6,3,"10YR",4,4,"Mammoth",4
"Bt1",25,41,"10YR",5,4,"7.5YR",5,4,"Mammoth",4
"Bt2",41,56,"10YR",5,4,"7.5YR",5,4,"Mammoth",4
"Bt3",56,81,"10YR",5,4,"7.5YR",4,6,"Mammoth",4
"Bt4",81,150,"7.5YR",5,6,"7.5YR",4,6,"Mammoth",4
"C",150,170,"7.5YR",4,6,"7.5YR",4,4,"Mammoth",4
"Oi",0,3,"",,,"",,,"Marble",4
"A",3,10,"10YR",5,2,"10YR",3,2,"Marble",4
"E",10,20,"10YR",6,3,"10YR",4,3,"Marble",4
"Bt1",20,69,"10YR",6,3,"10YR",4,3,"Marble",4
"Bt2",69,135,"10YR",6,3,"10YR",4,3,"Marble",4
"C",135,152,"",,,"",,,"Marble",4
"Oi",0,3,"",,,"",,,"Marblespring",4
"A1",3,5,"10YR",5,3,"10YR",3,2,"Marblespring",4
"A2",5,18,"10YR",7,3,"10YR",4,3,"Marblespring",4
"Bt1",18,69,"10YR",7,3,"10YR",4,3,"Marblespring",4
"Bt2",69,130,"10YR",7,3,"10YR",4,3,"Marblespring",4
"C",130,152,"",,,"",,,"Marblespring",4
"A1",0,8,"10YR",5,3,"10YR",3,2,"Mineral",4
"A2",8,20,"10YR",4,3,"10YR",3,3,"Mineral",4
"B2t",20,56,"7.5YR",6,4,"7.5YR",4,3,"Mineral",4
"Cca",56,117,"7.5YR",8,2,"7.5YR",6,3,"Mineral",4
"Oi",0,5,"",,,"",,,"Mitten",4
"Bw",5,28,"10YR",6,4,"10YR",4,4,"Mitten",4
"2E",28,46,"7.5YR",7,2,"7.5YR",5,2,"Mitten",4
"Bw",46,91,"7.5YR",7,2,"7.5YR",5,2,"Mitten",4
"2BC",91,152,"7.5YR",7,2,"7.5YR",5,2,"Mitten",4
"O1",0,5,"",,,"",,,"Montez",4
"A1",5,23,"10YR",4,2,"10YR",2,2,"Montez",4
"A2",23,61,"10YR",6,2,"7.5YR",5,6,"Montez",4
"B",61,76,"10YR",6,2,"7.5YR",5,6,"Montez",4
"B2t",76,97,"7.5YR",5,6,"10YR",4,4,"Montez",4
"B3t",97,109,"10YR",6,6,"",,,"Montez",4
"C",135,135,"10YR",6,6,"10YR",5,8,"Montez",4
"R",135,135,"",,,"",,,"Montez",4
"A1",0,8,"10YR",5,2,"10YR",3,3,"Nemote",4
"A2",8,25,"7.5YR",7,2,"7.5YR",4,2,"Nemote",4
