"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"Cg",56,185,"5GB",5,1,"",,,"Spasski",1
"Oi",0,8,"",,,"",,,"Coville",1
"C1",8,10,"10YR",4,1,"",,,"Coville",1
"C2",10,58,"N",4,,"",,,"Coville",1
"Oi",0,15,"7.5YR",3,4,"",,,"Dadina",1
"Oe",15,25,"7.5YR",3,2,"",,,"Dadina",1
"A",25,33,"10YR",3,3,"",,,"Dadina",1
"2C1",33,43,"10YR",4,4,"10YR",4,3,"Dadina",1
"2C2",43,81,"10YR",4,2,"",,,"Dadina",1
"2Cf",81,107,"10YR",4,2,"",,,"Dadina",1
"Ap",0,13,"10YR",2,1,"10YR",4,2,"Sifton",1
"Al1",13,25,"10YR",2,2,"10YR",4,2,"Sifton",1
"Al2",25,41,"10YR",2,2,"10YR",4,2,"Sifton",1
"2C1",41,61,"10YR",3,3,"10YR",4,3,"Sifton",1
"2C2",61,152,"10YR",3,2,"10YR",4,3,"Sifton",1
"A",0,8,"10YR",5,2,"10YR",3,2,"Shawmount",1
"AB",8,25,"10YR",5,3,"10YR",3,3,"Shawmount",1
"Bt1",25,41,"10YR",5,4,"10YR",3,4,"Shawmount",1
"Bt2",41,66,"10YR",5,4,"10YR",3,4,"Shawmount",1
"Bt3",66,97,"10YR",5,4,"10YR",3,4,"Shawmount",1
"E",97,122,"10YR",6,4,"",,,"Shawmount",1
"C",122,152,"10YR",7,4,"10YR",5,4,"Shawmount",1
"Oe",0,5,"10YR",2,1,"",,,"Eklutna",1
"C",5,152,"2.5Y",4,2,"",,,"Eklutna",1
"Oi",0,5,"",,,"",,,"Sharatin",1
"C",5,8,"10YR",6,4,"",,,"Sharatin",1
"2C",8,25,"10YR",6,3,"",,,"Sharatin",1
"3A2b",25,33,"5YR",3,2,"",,,"Sharatin",1
"3A3b",33,41,"5YR",3,4,"5YR",3,2,"Sharatin",1
"3AC1",41,51,"5YR",3,4,"10YR",4,4,"Sharatin",1
"3AC2",51,91,"5YR",3,4,"",,,"Sharatin",1
"4C",64,91,"",,,"",,,"Sharatin",1
"Oi",0,3,"",,,"",,,"Dick",1
"Oe",3,5,"",,,"",,,"Dick",1
"E1",5,8,"10YR",5,2,"10YR",7,1,"Dick",1
"E2",8,13,"10YR",4,3,"10YR",7,3,"Dick",1
"E3",13,61,"10YR",5,3,"10YR",7,4,"Dick",1
"B",61,127,"2.5Y",5,4,"2.5Y",7,4,"Dick",1
"2B",127,157,"2.5Y",4,4,"2.5Y",7,4,"Dick",1
"A",0,15,"10YR",6,2,"10YR",4,2,"Dirtyhead",1
"Bk1",15,41,"10YR",6,2,"10YR",5,2,"Dirtyhead",1
"Bk2",41,66,"10YR",7,2,"10YR",6,3,"Dirtyhead",1
"Bk2",66,97,"10YR",7,2,"10YR",5,3,"Dirtyhead",1
"Cr",97,,"",,,"",,,"Dirtyhead",1
"Oe",0,8,"5YR",2,2,"",,,"Salonie",1
"C1",8,13,"10YR",7,1,"",,,"Salonie",1
"C2",13,18,"10YR",6,4,"",,,"Salonie",1
"2C1",18,25,"10YR",6,4,"",,,"Salonie",1
"2C2",25,33,"10YR",5,2,"",,,"Salonie",1
"3Ab",33,36,"5YR",2,2,"",,,"Salonie",1
"3Cb",36,56,"5YR",4,1,"",,,"Salonie",1
"4C",56,86,"",,,"",,,"Salonie",1
"O1",0,8,"5YR",2,2,"7.5YR",5,4,"Easley",1
"O2",8,13,"5YR",2,1,"",,,"Easley",1
"A1",13,23,"10YR",3,1,"5YR",2,1,"Easley",1
"C1g",23,33,"5Y",4,1,"10YR",4,4,"Easley",1
"C2g",33,41,"5Y",4,1,"2.5Y",4,4,"Easley",1
"A1",0,5,"10YR",3,4,"10YR",5,4,"Wellsdale",1
"A2",5,20,"10YR",3,4,"10YR",5,4,"Wellsdale",1
"BA",20,61,"7.5YR",3,4,"7.5YR",5,4,"Wellsdale",1
"Bt1",61,86,"7.5YR",4,4,"7.5YR",5,4,"Wellsdale",1
"Bt2",86,145,"7.5YR",5,6,"7.5YR",5,4,"Wellsdale",1
"BCt",145,165,"7.5YR",5,6,"7.5YR",5,4,"Wellsdale",1
"Oi",0,8,"",,,"",,,"Nataga",1
"A",8,10,"10YR",3,2,"",,,"Nataga",1
"C1",10,41,"10YR",4,2,"",,,"Nataga",1
"C2",41,163,"10YR",4,2,"",,,"Nataga",1
"Oe",0,5,"5YR",2.5,2,"",,,"Fanshaw",1
"Oa",5,23,"5YR",2.5,2,"",,,"Fanshaw",1
"E",23,28,"10YR",4,1,"",,,"Fanshaw",1
"Bhsm",28,38,"5YR",2.5,1,"",,,"Fanshaw",1
"Bhs",38,99,"2.5YR",2.5,2,"",,,"Fanshaw",1
"C",99,175,"7.5YR",4,4,"",,,"Fanshaw",1
"Oi",0,3,"",,,"",,,"Revel",1
"Oa",3,5,"",,,"",,,"Revel",1
"A",5,15,"7.5YR",4,4,"7.5YR",5,4,"Revel",1
"Bs",15,46,"7.5YR",4,4,"10YR",5,4,"Revel",1
"C",46,94,"10YR",4,4,"10YR",6,4,"Revel",1
"2Cr",94,,"",,,"",,,"",1
"A",0,5,"7.5YR",4,2,"7.5YR",3,2,"Reck",1
"BA",5,13,"7.5YR",4,2,"7.5YR",3,2,"Reck",1
"Bt",13,23,"7.5YR",5,4,"7.5YR",4,4,"Reck",1
"Btss1",23,51,"7.5YR",5,4,"7.5YR",5,4,"Reck",1
"Btss2",51,79,"7.5YR",6,4,"7.5YR",5,4,"Reck",1
"B't1",79,107,"7.5YR",6,4,"7.5YR",5,4,"Reck",1
"B't2",107,117,"7.5YR",7,4,"7.5YR",5,4,"Reck",1
"2BC",117,152,"7.5YR",7,4,"7.5YR",4,4,"Reck",1
"Oi",0,5,"10YR",3,4,"10YR",2,2,"Frostcircle",1
"AC",5,10,"2.5Y",3,2,"",,,"Frostcircle",1
"2Cgjj1",10,20,"5Y",4,1,"7.5YR",4,6,"Frostcircle",1
"2Cgjj2",20,38,"5Y",4,1,"",,,"Frostcircle",1
"2Cg",38,120,"5Y",4,1,"",,,"Frostcircle",1
"2Cgf",120,152,"5Y",4,1,"",,,"Frostcircle",1
"Oi",0,28,"2.5YR",2.5,2,"",,,"Frostcircle",1
"Oe",28,38,"10YR",2,1,"",,,"Frostcircle",1
"A",8,43,"10YR",2,2,"5Y",4,1,"Frostcircle",1
"2Cgf",43,152,"5Y",4,1,"",,,"Frostcircle",1
"A",0,10,"10YR",5,2,"10YR",3,2,"Qualridge",1
"Bt1",10,20,"10YR",4,3,"10YR",3,3,"Qualridge",1
"Bt2",20,48,"10YR",5,3,"10YR",3,3,"Qualridge",1
"Bt3",48,117,"10YR",6,3,"10YR",5,3,"Qualridge",1
"C",117,152,"10YR",7,3,"10YR",6,3,"Qualridge",1
"O1",0,20,"5YR",2,1,"",,,"Yukon",1
"A1",20,25,"10YR",3,1,"2.5Y",4,4,"Yukon",1
"C1",25,48,"2.5Y",4,2,"",,,"Yukon",1
"C2",48,61,"2.5Y",4,2,"",,,"Yukon",1
"C3",61,71,"5Y",4,2,"",,,"Yukon",1
"A1",0,8,"10YR",5,2,"10YR",3,2,"Patelzick",1
"Bt",8,20,"10YR",5,2,"10YR",3,2,"Patelzick",1
"Bk1",20,36,"10YR",6,3,"10YR",4,3,"Patelzick",1
"Bk2",36,43,"10YR",7,3,"10YR",5,3,"Patelzick",1
"Bkqm",43,46,"10YR",8,2,"10YR",6,3,"Patelzick",1
"R",48,,"",,,"",,,"Patelzick",1
"O1",0,5,"5YR",2,2,"",,,"Goodhope",1
"O2",5,8,"10YR",3,1,"",,,"Goodhope",1
"C1",8,15,"10YR",4,2,"",,,"Goodhope",1
"C2",15,33,"2.5Y",4,4,"",,,"Goodhope",1
"C3",33,119,"2.5Y",4,4,"2.5Y",5,4,"Goodhope",1
"Oi",0,13,"2.5YR",2.5,2,"",,,"Goodview",1
"A1",13,23,"10R",2.5,2,"10YR",3,3,"Goodview",1
"A2",23,28,"10R",2.5,2,"10YR",3,3,"Goodview",1
"2R",28,,"",,,"",,,"Goodview",1
"Oi",0,15,"",,,"",,,"Grewingk",1
"Oe",15,23,"5YR",2,2,"",,,"Grewingk",1
"E",23,28,"2.5Y",4,2,"10YR",4,3,"Grewingk",1
"Bs1",28,36,"5YR",3,2,"5YR",3,4,"Grewingk",1
"2Bs2",36,46,"7.5YR",3,4,"5YR",2,2,"Grewingk",1
"3C1",46,69,"5Y",4,3,"",,,"Grewingk",1
"4C2",69,86,"5Y",5,3,"",,,"Grewingk",1
"O2",0,5,"10YR",2,1,"",,,"Greybo",1
"A1",5,53,"10YR",5,3,"",,,"Greybo",1
"A2",53,99,"10YR",6,3,"10YR",4,3,"Greybo",1
"B1",99,152,"10YR",6,3,"10YR",4,3,"Greybo",1
"B2",152,157,"10YR",6,4,"10YR",4,3,"Greybo",1
"A1",0,10,"10YR",2,1,"10YR",4,1,"Oxbow",1
"A2",10,20,"10YR",2,1,"10YR",4,1,"Oxbow",1
"Bt1",20,30,"10YR",2,2,"10YR",4,2,"Oxbow",1
"Bt2",30,46,"10YR",3,3,"10YR",4,3,"Oxbow",1
"Btk",46,69,"10YR",4,4,"10YR",5,4,"Oxbow",1
"2Bkqm",69,76,"",,,"",,,"Oxbow",1
"3C",76,152,"",,,"",,,"Oxbow",1
"Oi",0,10,"2.5YR",3,1,"",,,"Ogtna",1
"Oa",10,15,"10YR",2,1,"",,,"Ogtna",1
"A1",15,25,"10YR",3,3,"10YR",2,1,"Ogtna",1
"A2",25,48,"10YR",3,3,"10YR",2,1,"Ogtna",1
"2C",48,168,"",,,"",,,"Ogtna",1
"Oi",0,5,"",,,"",,,"Waterfall",1
"C",5,48,"7.5YR",5,6,"",,,"Waterfall",1
"R",48,,"",,,"",,,"Waterfall",1
"Oa",0,20,"2.5YR",2.5,2,"",,,"Helm",1
"A",20,28,"10YR",4,1,"",,,"Helm",1
"Cg",28,46,"10YR",5,1,"7.5YR",5,8,"Helm",1
"R",46,,"",,,"",,,"Helm",1
"Oe",0,5,"",,,"",,,"Newaukum",1
"A",5,28,"10YR",2,2,"10YR",4,3,"Newaukum",1
"Bw1",28,46,"10YR",3,3,"10YR",5,4,"Newaukum",1
"Bw2",46,69,"10YR",3,4,"10YR",6,4,"Newaukum",1
"Bw3",69,109,"10YR",4,4,"10YR",7,4,"Newaukum",1
"BC",109,135,"7.5YR",4,6,"7.5YR",6,6,"Newaukum",1
"C",135,157,"7.5YR",4,4,"7.5YR",7,4,"Newaukum",1
"Oi",0,5,"",,,"",,,"Naukati",1
"Oe",5,13,"10YR",2,1,"",,,"Naukati",1
"E",13,18,"10YR",5,2,"",,,"Naukati",1
"Bhs",18,20,"2.5YR",3,2,"",,,"Naukati",1
"Bs",20,25,"2.5YR",3,2,"",,,"Naukati",1
"C",25,53,"2.5Yr",3,2,"",,,"Naukati",1
"R",53,,"",,,"",,,"Naukati",1
"Oi ",0,5,"",,,"",,,"Skagway",1
"Oe",5,10,"",,,"",,,"Skagway",1
"A",10,15,"10YR",3,3,"",,,"Skagway",1
"C1",15,53,"10YR",4,2,"10YR",5,4,"Skagway",1
"C2",53,163,"10YR",4,2,"",,,"Skagway",1
"Oi",0,10,"",,,"",,,"Minchumina",1
"Oe",10,25,"",,,"",,,"Minchumina",1
"A",25,41,"N",2,0,"",,,"Minchumina",1
"Cf",41,66,"10YR",3,2,"",,,"Minchumina",1
"Oa",0,20,"10YR",2,1,"",,,"Kasiana",1
"Bw1",20,36,"7.5YR",3,2,"7.5YR",3,4,"Kasiana",1
"Bw2",36,56,"7.5YR",3,2,"7.5YR",3,4,"Kasiana",1
"C",56,173,"2.5Y",4,2,"",,,"Kasiana",1
"A",0,3,"10YR",5,1,"10YR",5,2,"Keerins",1
"Bt",3,20,"10YR",4,1,"10YR",3,2,"Keerins",1
"Btk1",20,28,"10YR",4,3,"10YR",3,3,"Keerins",1
"Btk2",28,41,"10YR",5,1,"10YR",4,3,"Keerins",1
"Cr",41,46,"",,,"",,,"Keerins",1
"R",46,,"",,,"",,,"Keerins",1
"A1",0,10,"10YR",7,2,"10YR",4,3,"Kiesel",1
"B21t",10,18,"10YR",6,2,"10YR",4,2,"Kiesel",1
"B22t",18,28,"10YR",6,3,"10YR",4,3,"Kiesel",1
"B23t",28,56,"10YR",7,2,"10YR",4,3,"Kiesel",1
"C1ca",56,102,"10YR",7,1,"10YR",5,3,"Kiesel",1
"C2ca",102,102,"10YR",7,1,"10YR",5,3,"Kiesel",1
"Ap",0,15,"10YR",3,2,"10YR",5,2,"Kitsap",1
"Bw1",15,25,"10YR",4,3,"10YR",,3,"Kitsap",1
"Bw2",25,43,"10YR",4,3,"10YR",6,3,"Kitsap",1
"BC",43,81,"2.5Y",5,2,"2.5Y",7,2,"Kitsap",1
"C",81,152,"2.5Y",5,4,"2.5Y",6,2,"Kitsap",1
