series,tp,bn,cs,gs
HONGA,0,0,1,1
HOODLE,0,0,1,0
HOOKSAN,0,0,1,1
HOOLIGAN,0,0,0,1
HOOSAN,0,0,1,0
HOPLEY,0,0,0,1
HORNITOS,0,0,0,1
HOTSPOT,0,0,1,0
HORSEGRASS,0,0,1,0
HOSKIN,0,0,0,1
HOULIHAN,0,0,1,0
HOWCAN,0,1,0,0
HOYT,0,0,1,1
HUBERLY,0,0,1,1
HUENEME,0,0,0,1
HUMESTON,0,0,1,0
HUFFINE,0,0,0,1
HUFMAN,0,0,0,1
HUGHESVILLE,0,0,0,1
JUDITH,0,0,1,0
HULUA,0,0,0,1
LITTLE HORN,0,0,1,1
HUMMINGTON,0,0,1,1
HUSE,0,0,0,1
HUSS,0,0,1,1
HUTCHLEY,0,1,0,0
HUTTULA,0,0,0,1
HYALITE,0,0,1,1
HYDE,0,0,0,1
HYSHAM,0,0,0,1
IAO,0,0,0,1
IBEX,0,0,0,1
IDANHA,0,0,1,1
IFFGULCH,0,0,0,1
IGOR,0,0,1,0
IKE,0,1,0,0
IKIT,0,0,0,1
INARAJAN,0,0,0,1
INARI,0,0,0,1
INDIAHOMA,0,0,0,1
INDIAN RIVER,0,0,0,1
INEL,0,1,0,0
MCCALPINEMEADOW,0,0,0,1
INGLEDOVE,0,0,0,1
INGRAHAM,0,0,0,1
INKLER,0,0,1,0
INTERIOR,0,0,1,0
IOWITHLA,0,0,0,1
IPSUT,0,0,0,1
IROCK,0,0,0,1
IRVINE,0,0,0,1
IRWIN,0,0,0,1
ISBELL,0,0,0,1
ISMAY,0,0,0,1
ISSUE,0,0,1,1
ITMANN,0,0,1,1
ITZEE,0,0,1,0
IVANELL,0,0,1,1
LIVERPOOL,0,0,1,1
JACOBY,0,0,1,0
JADE RUN,0,0,1,1
JOCKO,0,0,1,1
JANELEW,0,0,1,1
JANKOSH,0,0,0,1
JARITA,0,0,0,1
JAYEM,0,0,0,1
SQUATTERFLAT,0,0,1,1
JOICE,0,0,0,1
JESBEL,1,0,1,1
JIM,0,0,0,1
JIMBEE,0,1,0,0
JIMBO,0,0,1,1
JIMMERFIELD,0,0,1,0
JOEGALE,0,0,1,0
JOHNS,0,0,0,1
JOHNSON,0,0,1,0
JOHNSTON,0,0,0,1
JONAH,0,0,1,0
JONDA,0,1,0,0
JONESCREEK,0,1,1,0
JOPLIN,0,0,0,1
JORAIBI,0,1,0,0
JOSBURG,0,0,1,0
JUDCO,0,0,1,0
JUDELL,0,0,1,1
JUEL,0,0,1,0
JULIN,0,0,0,1
JULIUS,0,0,0,1
KAUTZ,0,0,1,1
KADYGULCH,0,0,0,1
KAINA,0,0,1,0
KALAMBACH,0,0,0,1
KALLIS,0,0,1,0
KALMIA,0,0,0,1
KALSTED,0,0,1,0
KANAWHA,0,0,1,1
KANDIK,0,0,0,1
SWENCAN,0,0,1,1
KATAKA,0,0,0,1
KATKITOS,0,0,1,0
KATPA,0,0,0,1
KAYMINE,0,0,1,1
KEBA,0,0,0,1
KECHUMSTUK,0,0,0,1
KEENE,0,0,1,1
KEISER,0,0,0,1
KEITH,0,0,1,0
KELLYGULCH,0,0,1,0
KELSTRUP,0,0,1,1
KEMUK,0,0,0,1
KENAI,0,0,0,1
KENILWORTH,0,0,1,1
KENTUCK,0,0,0,1
LAKEWOOD,0,0,0,1
KINSTON,0,0,0,1
KERL,0,0,1,0
KERRDAM,0,0,1,1
KEVIN,0,0,0,1
KIBIN,0,0,0,1
KIBLER,0,0,0,1
KIDNAPSPRING,0,0,1,1
KIEV,0,0,1,0
KILARC,0,0,0,1
KILFOIL,0,0,0,1
KILLEY,0,0,0,1
KILLPACK,0,0,1,0
KIMPTON,0,0,1,0
KINDT,0,0,1,0
KINESAVA,0,0,0,1
KINGSPOINT,0,0,0,1
KINGSTOWNE,0,0,1,1
KINKEAD,0,0,0,1
KINNEAR,0,0,1,0
KINNEY,0,0,1,1
KINZEL,0,0,0,1
KIOKLUK,0,0,0,1
KIRBY,0,0,0,1
KISMETPEAK,0,0,1,0
KISRING,0,0,0,1
KITTREDGE,0,0,1,0
KIWANIS,0,0,0,1
KLASI,0,0,0,1
KLAYENT,0,0,1,0
KLEINSCHMIDT,0,0,0,1
KLEJ,0,0,1,1
KLICKSON,0,0,0,1
KLISKON,0,0,0,1
KLUG,0,1,0,0
KNEELAND,0,0,1,0
KNIK,0,0,0,1
KNULL,0,0,0,1
KYWAY,0,0,1,0
KOBARTER,0,0,0,1
KOBASE,0,0,1,1
KOKORUDA,0,0,0,1
KOKWOK,0,0,0,1
KOUNTER,0,0,0,1
KOYOKEE,0,0,0,1
KRAUSE,0,0,0,1
KREMLIN,0,0,0,1
KRESSON,0,0,1,1
KRUTAR,0,0,0,1
KUPREANOF,0,0,0,1
KURO,0,0,0,1
KUSKOKWIM,0,0,0,1
KUSLINAD,0,0,0,1
KUVASZ,0,0,1,0
LACKSTOWN,0,0,1,1
LABU,0,0,0,1
LACEYCREEK,0,0,1,1
LADNER,0,0,0,1
LADO,0,0,1,0
LAGALL,0,0,1,0
LAHOOD,0,0,1,1
LAKEHELEN,0,0,1,0
LAKEHURST,0,0,0,1
LAKEMOUNTAIN,0,0,1,0
LAMBETH,0,0,1,1
LAMBMAN,0,0,0,1
LAMEDEER,0,0,0,1
LAPLATTA,0,0,0,1
LAMULITA,0,0,1,0
LANCE,0,0,1,1
LANDLOW,0,0,0,1
LANDMAN,0,0,0,1
LANDUSKY,0,0,1,1
LANEY,0,0,0,1
LANIGER,0,0,0,1
LANKIN,0,0,0,1
LANTERN,0,0,0,1
LAP,0,0,1,0
LARCHPOINT,0,0,0,1
LARDELL,0,0,0,1
LARIM,0,0,1,1
LARKIN,0,0,1,1
LARWOOD,0,0,1,0
LAS FLORES,0,0,0,1
LAS LUCAS,0,0,0,1
LEANTO,0,1,0,0
LATIWI,0,0,0,1
LATAH,0,0,1,1
LATHAM,0,0,1,1
LATIGO,0,0,1,0
LAUGHINGWATER,0,0,0,1
LAUREL,0,0,0,1
LAVELDO,0,0,1,1
LAVINA,0,0,0,1
LAYLAND,0,0,1,1
LAYTON,0,0,0,1
LEAHY,0,1,0,0
LEAVITT,0,0,1,0
LEAVITTVILLE,0,0,1,0
LEBEC,0,0,0,1
LEDGER,0,0,0,1
LEEPER,0,0,1,0
LEN,0,0,0,1
LEIPSIC,0,0,1,1
LENNEP,0,0,0,1
LEMONCREEK,0,0,1,1
LENNI,0,0,1,1
LENAPE,0,0,0,1
LEONARDTOWN,0,0,1,1
LEPNER,0,0,1,0
LESBUT,0,0,1,0
LESIER,0,0,1,0
LEVENGOOD,0,0,1,0
LEVY,0,0,0,1
LIBEG,0,0,1,0
LICK,0,0,1,0
LIHILL,0,0,1,0
LILSHEEP,0,0,1,0
LINDSIDE,0,0,1,1
LINNET,0,0,1,1
LINWELL,0,0,1,1
LIONWOOD,0,0,0,1
LIPKE,0,0,1,1
LISK,0,0,1,1
LITAG,0,0,0,1
LITTLETABLE,0,0,1,0
LITTLEJOE,0,0,0,1
LITTLESAGE,0,0,1,0
LITTLETAHOMA,0,0,1,1
LIZARD,0,0,1,0
LOBERG,0,0,1,0
LODI,0,0,1,0
MANDALE,0,0,1,1
MARIAS,0,0,1,1
LOLO,0,0,1,0
LOLON,0,0,1,1
LOLOPEAK,0,0,1,0
LOMAKI,0,1,0,0
LONEMAN,0,0,0,1
LONEPINE,0,0,1,1
LONGBOW,0,0,1,1
LONNA,0,0,1,1
LONNIEBEE,0,0,1,0
LORHUNT,0,0,0,1
MACHIAS,0,0,1,1
LOSTHORSE,0,0,1,0
LOSTRIVER,0,0,1,1
LOUSCOT,0,0,0,1
LOWDER,0,0,0,1
LOWLAND,0,0,1,1
LOZEAU,0,0,1,0
LUBRECHT,0,0,1,1
LUCILE,0,0,0,1
LUCKNOW,0,0,1,1
LUCKYBOY,0,0,1,1
LULUDE,0,0,1,0
LUMBEE,0,0,0,1
LUMPGULCH,0,0,1,0
LUND,0,0,1,0
LYNCHBURG,0,0,1,1
LYNCHLAKE,0,0,1,0
MARTEN,0,0,0,1
LYONSBRIDGE,0,0,1,0
MACABRE,0,0,0,1
MACAR,0,0,0,1
MACIVER,0,0,1,0
MACLAREN,0,0,0,1
MACMEAL,0,0,0,1
MADBEAVER,0,0,1,0
MONMOUTH,0,0,1,1
MADRID,0,1,0,0
MANOKIN,0,0,1,1
MAGGODEE,0,0,0,1
MAGINNIS,0,0,0,1
MANTON,1,0,1,1
MAIDEN,0,0,1,0
MAITLAND,0,0,0,1
MANAHAWKIN,0,0,0,1
MANDARIN,0,0,1,1
MANDY,0,0,1,1
MANHATTAN,0,0,0,1
MANKOMEN,0,0,0,1
MANLYWHAM,0,0,0,1
MANN,0,0,0,1
MANNINGTON,0,0,0,1
MANOR,0,0,1,1
MONTOUR,0,0,0,1
MANSKER,0,0,1,1
MANSON,0,0,1,0
MANTOLOKING,0,0,0,1
MANZANAR,0,0,1,0
MAPLE MOUNTAIN,0,0,0,1
MAPLECREST,0,1,0,0
MARCETTA,0,0,1,1
MARCOTT,0,0,0,1
MAREMMA,0,0,1,0
MARIA,0,0,0,1
MARJANE,0,1,0,0
MARKLEPASS,0,0,0,1
MARLTON,0,0,1,1
MARROWBONE,0,0,1,1
MARSHYHOPE,0,0,1,1
MARSING,0,0,0,1
MARTAB,0,0,0,1
MARTINECK,0,0,0,1
MARTINSDALE,0,0,1,0
MARVAN,0,0,1,1
MARVELL,0,0,0,1
MASCHETAH,0,0,1,0
MATAPEAKE,0,0,1,1
MATEWAN,0,0,1,1
MATHESON,0,0,1,0
MATTAN,0,0,1,1
MATTAPEX,0,0,1,1
MATTAPONI,0,0,0,1
MAUCROS,0,0,1,1
MAULE,0,0,0,1
MAURICE,0,0,1,0
MAWSPRING,0,0,1,0
MAXEY,0,0,0,1
MAXVILLE,0,0,1,1
MAYBEE,0,0,0,1
MAYFIELD,0,0,0,1
MAYMEAD,0,0,1,1
MAYTOWN,0,0,1,1
MCBAIN,0,0,1,0
MCCABE,0,0,0,1
MCCALEB,0,1,0,0
MCCALLA,0,0,1,0
MCCAMMON,0,0,0,1
MCCASH,0,0,0,1
MCCOLLUM,0,0,1,0
MCMANUS,0,0,0,1
MCCURDY,0,0,1,0
MCDONALD,0,0,0,1
MCGAFFEY,0,0,0,1
MCGINTY,0,0,1,0
MCKENTON,0,0,1,0
MCNAMEE,0,0,1,0
MCWILLAR,0,0,1,0
MEADOWFIELD,0,0,1,1
MEADOWS,0,0,0,1
MEAGHER,0,0,1,0
MEANY,0,0,0,1
MEAUFUN,0,0,1,1
MEAVER,0,0,1,0
MEDICINE,0,1,0,0
MEDOC,0,0,0,1
MEGGETT,0,0,1,1
MEIKLE,1,0,1,1
MELLOE,0,0,0,1
MELOCHE,0,0,0,1
MENAGERIE,0,0,1,1
MENAN,0,1,0,0
MENDNA,0,0,0,1
MENEFEE,0,0,1,0
MERCED,0,0,0,1
MEXICO,0,1,0,0
MERIWHITICA,0,1,0,0
MERRILL,0,0,0,1
MICHELSON,0,0,1,0
MORGALA,0,0,0,1
MOSHANNON,0,0,1,1
MIDNIGHT,0,0,0,1
MIDNOT,0,0,1,0
MIKESELL,0,0,1,0
MILLBORO,0,0,0,1
MILLPOCKET,0,0,0,1
MILLPOINT,0,0,1,0
MISPILLION,0,0,1,1
MILLRACE,0,0,0,1
MOUNTIRELAND,0,0,0,1
MIMMS,0,0,0,1
MINCHUMINA,0,0,1,0
MINDEGO,0,0,1,1
MINESTOPE,0,0,0,1
ROLPH,0,0,0,1
MINNIEPEAK,0,0,0,1
MISHAKAL,0,0,1,0
MITTEN,0,0,0,1
MOCMONT,0,0,0,1
MODESS,0,0,0,1
MODESTO,0,0,1,0
MODESTY,0,0,0,1
MOGG,0,0,1,0
MOIESE,0,0,1,1
MOKIAK,0,0,0,1
MOLLET,0,0,1,0
MOLLMAN,0,0,0,1
MOLTONER,0,0,0,1
MONABERG,0,0,1,0
MONAD,0,0,1,0
MONBUTTE,0,0,1,0
MONCURE,0,0,1,1
MONDEY,0,0,0,1
MONONGAHELA,0,0,1,0
MONTALTO,0,0,0,1
MONTEVALLO,0,0,1,1
MONTLID,0,0,0,1
MONTOSO,0,0,0,1
MONTSWEET,0,0,1,0
MOOSEFLAT,0,0,1,0
MOOSEJAW,0,0,0,1
MOOSERIDGE,0,0,0,1
MOREHEAD,0,0,1,1
MORET,0,0,0,1
MUD SPRINGS,0,0,0,1
MORRISTOWN,0,0,1,1
MOUNTWOW,0,0,0,1
MOUNTAIN PARK,0,0,1,1
MOUNTAINBURG,0,0,0,1
MOUZON,0,0,0,1
MOWBRAY,0,0,1,1
MOWER,0,0,0,1
MOYERS,1,0,0,1
MT. OLIVE,0,0,1,1
MUDIE,0,0,0,1
MUDDUCK,0,0,1,0
MUIRKIRK,0,0,0,1
MUKLUNG,0,0,0,1
MULLERS,0,0,0,1
MULLICA,0,0,0,1
MUNDEN,0,0,0,1
MUNK,0,0,0,1
MUNTERVILLE,0,0,0,1
MURRSTEAD,0,0,0,1
MYSTICLAKE,0,0,1,1
MUSSEL,0,0,1,0
MUSSIGBROD,0,0,1,1
MUTTONTOWN,0,0,1,1
NAFF,0,0,1,1
NAGUGUN,0,0,0,1
NAKARNA,0,0,1,0
NATHERMAN,0,0,1,0
NALAKI,0,1,0,0
NALLEN,0,0,1,1
NAMON,0,1,0,0
NANCY,0,0,0,1
NANSEMOND,0,0,0,1
NANTICOKE,0,0,0,1
NARADA,0,0,0,1
NARCISSE,0,0,1,1
NARGON,0,1,0,0
NARRAGUINNEP,0,0,1,0
NARROWRIDGE,0,0,1,0
NARROWS,0,0,1,0
NASSAWANGO,0,0,1,1
TEIGEN,0,0,1,1
NATHALIE,0,0,1,1
NAWNEY,0,0,0,1
NEEN,0,0,1,0
NEHAR,0,0,0,1
NELDORE,0,0,1,1
NEMAH,0,0,1,1
NESTLEY,0,0,0,1
NEVARC,0,0,1,1
NEW CAMBRIA,0,0,0,1
NEWLANCREEK,0,0,1,0
NIART,0,0,1,0
NICKIN,0,0,0,1
NICKOLNA,0,0,0,1
NIEMAN,0,0,1,0
NIKLASON,0,0,0,1
NIKLAVAR,0,0,0,1
NILDA,0,0,1,0
NILER,0,0,0,1
NIMMO,0,0,0,1
NINEPIPE,0,0,1,0
NIRLING,0,0,1,0
NISSLER,0,0,1,0
NIVEAN,0,0,1,1
THOSAND,0,0,1,0
NIXONTON,0,0,0,1
NOBE,0,0,0,1
NOBOCO,0,0,0,1
NOPEMOUNTAIN,0,0,1,0
NOOKSACK,0,0,0,1
NORBERT,0,0,1,1
NORCAN,0,0,0,1
NORDIC,0,0,1,1
NORFOLK,0,0,1,1
NORLO,0,0,0,1
NORMAUK,0,0,1,1
NOYO,0,0,0,1
NOVARY,0,0,0,1
NOXLIN,0,0,0,1
NULEY,0,0,1,1
NUNACHUAK,0,0,0,1
NUNEMAKER,0,0,1,1
NUSHAGAK,0,0,0,1
NUTALL,0,0,1,0
NUTRIOSO,0,1,0,0
NYTHAR,0,0,0,1
OAK LEVEL,0,0,1,1
OASIS,0,0,1,0
OBRIEN,0,0,1,1
OBURN,0,0,1,1
OCEANAIRE,0,0,0,1
ODARK,0,0,0,1
OHANAPECOSH,0,0,0,1
OKIOTA,0,0,0,1
OHWILER,0,0,1,0
OKEETEE,0,0,0,1
OLALLIE,0,0,0,1
OLANTA,1,0,0,1
OLDTRAIL,0,0,0,1
OLIVENHAIN,0,0,0,1
OLUSTEE,0,0,1,1
ONAWET,0,0,0,1
ONEONTA,0,0,1,1
ONOVILLE,0,0,1,1
OPECHEKAHTA,0,0,0,1
OPEQUON,0,0,1,1
OPITZ,0,0,0,1
OPOLIS,0,0,0,1
ORANGE,0,0,1,1
ORGTER,0,0,0,1
ORINOCO,0,0,1,1
ORLAND,0,0,1,0
ORO FINO,0,0,1,0
OTHELLO,0,0,1,1
OUSELFAL,0,0,0,1
OUTLET,0,0,0,1
OVANDO,0,0,1,1
OVERFELT,0,0,0,1
OVERLANDTRAIL,0,0,1,0
OVINGTON,0,0,0,1
OWENFORT,0,0,1,0
OWLRIDGE,0,0,1,1
OWYHEE,0,0,1,0
PACHAPPA,0,0,1,0
PACHEL,0,0,1,1
PACKMO,0,1,0,0
PACKSADDLE,1,0,0,0
PACTOLUS,0,0,1,1
PADDY,0,0,1,1
PAICE,0,0,0,1
PALMVIEW,0,0,1,0
PANAMAKER,0,0,0,1
PANCHERI,0,1,0,0
PANDOAH,0,0,0,1
PAPPASCREEK,0,0,0,1
PARKFIELD,0,0,0,1
PARKINSON,0,0,1,1
ROCKO,0,0,1,0
PARLEYS,0,0,1,0
PARRISH,0,0,0,1
PASQUOTANK,0,0,0,1
PASSAR,0,0,0,1
PASSMORE,0,0,0,1
PASTERN,0,1,0,0
PASTURE POINT,0,0,0,1
PATAPSCO,0,0,0,1
PATIO,0,0,0,1
PATIT CREEK,0,0,1,1
PATOUZA,0,0,1,1
PATTENBUTTE,0,0,1,0
PEAKIN,0,0,1,0
PAVANT,0,0,0,1
PAVILLION,0,0,0,1
PAX,0,0,0,1
PAXVILLE,0,0,1,1
PEABODY,0,0,1,1
PEASPEAR,0,0,1,0
PEAVINER,0,0,1,1
PEDRICK,0,0,1,1
PEDRICKTOWN,0,0,0,1
PEERLESS,0,0,0,1
PEERS,0,1,0,0
PELION,0,0,0,1
PELLERNARQUQ,0,0,0,1
PENASCO,0,0,0,1
PENDROY,0,0,1,1
PENHOOK,0,0,0,1
PENSORE,0,0,0,1
PEOH,0,0,0,1
PERQUIMANS,0,0,0,1
PERMA,0,0,1,0
PIERRE,0,0,0,1
PESOWYO,0,0,0,1
PETA,0,0,1,0
PETTIGREW,0,0,0,1
PETTY,0,0,1,0
PICCOWAXEN,0,0,1,1
PETZEL,0,0,1,1
PFAFFTOWN,0,0,1,1
PHALANX,0,0,1,1
PHILIPSBURG,0,0,1,0
PHILLIPS,0,0,1,1
PIANOHILL,0,0,1,0
PICAYUNE,0,0,0,1
PICEANCE,0,0,0,1
PICKETLAKE,0,0,1,0
PIERIVER,0,0,0,1
PIERKING,0,0,1,0
PIERVIEW,0,0,1,0
POCATY,0,0,0,1
PINEYNECK,0,0,1,1
PINEAL,0,0,0,1
PINEBREAKS,0,0,0,1
PINEBUTTE,0,0,1,1
PINEGUEST,0,0,0,1
PINEHILL,0,0,1,1
PINEOLA,0,0,1,1
PINGREE,0,1,0,0
PINICON,1,0,0,1
PINKEL,0,0,0,1
PINKSTON,0,0,0,1
PINOKA,0,0,1,1
PINTLAR,0,0,1,1
PIPEROCK,0,0,1,1
PIPESTEM,0,0,0,1
PIPPOD,0,0,0,1
PIRKEY,0,0,0,1
PITCHSTONE,0,0,0,1
PIUTE,0,1,0,0
PIUTESPRING,0,0,1,0
PLACENTIA,0,0,0,1
PLACK,0,0,0,1
PLAZA,0,0,1,1
PLEASANT GROVE,0,0,0,1
PREWITT,0,0,1,1
PLIMPTON,0,0,1,0
PUCKUM,0,0,1,1
PLUMMER,0,0,1,1
RONAN,0,0,0,1
POHLOD,0,1,1,0
POIN,0,0,1,0
POTTSBURG,0,0,1,1
POLACCA,0,1,0,0
POLEY,0,1,0,0
POLLASKY,0,0,1,1
PORONTO,0,0,1,0
PORTSMOUTH,0,0,0,1
POST,0,0,0,1
ROPER,0,0,0,1
POTOBAC,0,0,1,1
POVERTY,0,0,1,0
POZEGA,0,0,0,1
PREGO,0,0,1,1
PRESTO,0,0,0,1
PRITCHETT,0,0,0,1
PROGRESSO,0,1,0,0
PROSPECT,0,0,0,1
PROSPERITY,0,0,1,0
PSUNI,0,0,0,1
PSUYAAH,0,0,0,1
QUAKERBRIDGE,0,0,1,1
PULS,0,0,0,1
QUIRT,0,0,1,0
PUNGO,0,0,1,1
PURPLE,0,0,0,1
PUTNEY,0,0,0,1
PYRAMID,0,0,0,1
PYRENEES,0,0,1,0
PYWELL,0,0,1,0
QENI,0,0,0,1
QUAGLE,0,0,1,1
QUAGWA,0,1,0,0
QUAKENASP,0,0,1,0
QUATAMA,0,0,1,1
QUAZAR,0,0,1,0
QUIGG,0,0,1,1
QUIGLEY,0,0,1,0
QUIHI,0,0,1,0
QUINDOCQUA,0,0,1,1
QUIVERA,0,1,0,0
RAGHORN,0,0,0,1
RAHWORTH,0,0,1,1
RAINS,0,0,0,1
RALORE,0,0,1,1
RALSTONFLATS,0,0,1,0
RAMCREEK,0,0,0,1
RAPELJE,0,0,0,1
RAPIDCREEK,0,0,0,1
RASALO,0,0,1,0
ROUNDOR,0,0,1,0
RATIOPEAK,0,0,1,0
RAWAH,0,0,0,1
RAYNE,0,0,1,1
REAGAN,0,0,0,1
RED POINT,0,0,1,0
REDCHIEF,0,0,1,0
REDFERN,0,0,0,1
REDFIST,0,0,1,1
REDLOCK,0,0,0,1
RUNCLINT,0,0,1,1
REDSAGE,0,0,1,0
REEDPOINT,0,0,1,0
RELEEP,0,0,0,1
RELYEA,0,0,1,1
REMOUNT,0,0,1,1
RENCOT,0,0,1,0
RENNIE,0,0,1,1
RENOL,0,0,0,1
REPKIE,0,0,1,0
REPP,0,0,1,0
RETTIG,0,0,1,0
REVAIS,0,0,0,1
REYBOLD,0,0,0,1
REYCREEK,0,0,0,1
RHODHISS,0,0,1,1
RICHVILLE,0,0,0,1
RICHEY,0,0,1,1
RIDGE,0,0,0,1
RIDGELAND,0,0,1,1
RIFLEPIT,0,0,1,1
RIGDON,0,0,1,1
RIGLEY,0,0,1,1
RING,0,0,0,1
RINGGOLD,0,0,1,0
RINQUIN,0,0,1,1
RIOMAR,0,0,0,1
RITTEL,0,0,1,1
RIVRA,0,0,0,1
ROACHGULCH,0,0,1,0
ROANOKE,0,0,0,1
ROCHESTER,0,0,1,0
ROCKAWALKIN,0,0,1,1
ROCKBOTTOM,0,0,0,1
ROCKDIRT,0,0,1,1
ROCKERJOHN,0,0,0,1
ROCKERVILLE,0,0,1,1
ROCKISLAND,0,0,1,0
ROEGULCH,0,0,1,0
ROGERT,0,0,1,0
ROLESVILLE,0,0,1,1
ROMIA,1,0,0,0
ROMINELL,0,0,1,1
ROMNEY,0,0,0,1
SAGEDALE,0,0,1,1
RONY,0,0,0,1
ROOTEL,0,0,0,1
ROTHIEMAY,0,0,1,0
ROTO,0,0,0,1
ROUND BUTTE,0,0,1,1
ROUNDTREE,0,0,1,1
ROWAN,0,0,1,0
ROWDEN,0,0,0,1
ROXTON,0,0,0,1
ROY,0,0,1,0
RUDEEN,0,0,0,1
SALZER,0,0,1,1
RUFUS,0,0,1,0
RUMBLECREEK,0,0,1,0
RUMFORD,0,0,0,1
RUNE,0,1,0,0
RUPLE,0,0,0,1
RUSSETT,0,0,1,1
RUTLEGE,0,0,1,1
SABANA,1,0,0,0
SALEM,0,0,0,1
SAN ARCACIO,0,0,0,1
SAN ISABEL,0,0,0,1
SANCRANE,0,1,0,0
SEABROOK,0,0,1,1
SANDUR,0,0,0,1
SANPEDRO,0,0,1,0
SANPITCH,0,0,0,1
SANSDESSEIN,0,1,0,0
SAPPHIRE,0,0,0,1
SAWICKI,0,0,1,0
SARBO,0,0,0,1
SARVANT,0,0,1,1
SASSAFRAS,0,0,1,1
SASSER,0,0,0,1
SCAVE,0,0,0,1
SATURN,0,0,0,1
SAULICH,0,0,0,1
SAUNDERS,0,0,1,1
SAVAGE,0,0,1,0
SAVER,0,0,1,0
SAWBUCK,0,0,1,1
SCAIRT,0,0,1,0
SCALPLOCK,0,0,1,0
SCAPO,0,0,0,1
SCARPAL,0,0,0,1
SCATTER,0,0,0,1
SCHAEFERVILLE,0,0,0,1
SKAGGS,0,0,1,0
SCHNEBLY,0,0,0,1
SCHOOLER,0,0,0,1
SCHROCK,0,0,0,1
SCHUMACHER,0,0,1,1
SCHUSTER,0,0,0,1
SCIPIO,0,0,1,0
SCOAP,0,0,1,0
SCOBEY,0,0,1,1
SNAKERIVER,0,0,1,1
SCORIO,0,0,1,0
SCOTMONT,0,0,0,1
SCOTTY,0,0,1,0
SCOUT,0,0,1,0
SCRAVO,0,0,1,0
SCUDDER,0,0,1,0
SEAGATE,0,0,0,1
SEAGOVILLE,0,0,0,1
SEASTRAND,0,0,1,1
SEAVERSON,0,0,0,1
SEBUD,0,0,1,0
SECREST,0,0,1,1
SECUNDA,0,0,1,0
SEDWELL,0,0,0,1
SEEDSKADEE,0,0,1,1
SEITZ,0,0,1,0
SELOW,0,0,0,1
SELWAY,0,0,1,1
SENECAVILLE,0,0,1,1
SEWELL,0,0,1,1
SHABOOM,0,0,0,1
SHADOW,0,0,1,0
SHADYOAK,0,0,1,1
SMITHBORO,0,0,1,1
SHALCAR,0,0,1,1
SHANE,0,0,1,1
SHAR,0,0,1,0
SPLITRO,0,0,1,0
SHANLEY,0,0,1,0
SHANTA,0,0,0,1
SHARPTOWN,0,0,1,1
SHEDHORN,0,0,0,1
SHEEGE,0,0,1,0
SHEEPCAN,0,0,0,1
SHEEPISLAND,0,0,1,1
SHEEPSKULL,0,0,1,1
SHEETSFLAT,0,0,1,0
SICKLESTEETS,0,0,1,0
SHENANDOAH,0,0,0,1
SHERMAP,0,0,1,0
SHEWAG,0,0,1,0
SHIBAH,0,0,1,0
SHINGLETOWN,0,0,0,1
SHIRED,0,0,1,0
SHOOFLIN,0,0,0,1
SHOOK,0,0,1,1
SHURLEY,0,0,0,1
SHUMWAY,0,0,0,1
SIBBETT,0,0,0,1
SIEBEN,0,0,1,0
SIEBERELL,0,0,1,1
SIEBERT,0,0,0,1
SIELO,1,0,0,0
SIGNALHILL,0,0,1,0
SILOAM,0,0,0,1
SILVERCHIEF,0,0,0,1
SILVERCITY,0,0,1,1
SILVERJACK,0,0,1,0
SILVERKING,0,0,0,1
SINNIGAM,0,0,1,0
SIRREF,0,0,0,1
SIWASH,0,0,0,1
SIXBEACON,0,0,0,1
SIXTEENMILE,0,0,1,0
SKAMO,0,0,0,1
SKELTER,0,0,0,1
SKUNKFARM,0,0,1,0
SLOCUM,0,0,1,1
SKYVIEW,0,0,0,1
SLAGLE,0,0,0,1
SLATEGOAT,0,0,1,1
SLEDRUNNER,0,0,1,0
SLIDE,0,1,0,0
SLIKOK,0,0,0,1
SLUISKIN,0,0,1,1
SMALL,0,0,1,0
SMARTS,0,0,0,1
SNAGPOINT,0,0,1,1
SNAKE,0,0,0,1
SNOWSNAKE,0,0,1,1
SNYDERSDITCH,0,0,1,0
SOELBERG,0,1,0,0
TORPY,0,0,1,0
SONNETT,0,0,1,1
SOMERS,0,0,0,1
SONYOK,0,0,0,1
SOURDOUGH,0,0,0,1
SOUTHPOINT,0,0,0,1
SOUTHWICK,0,0,1,1
SPAA,0,0,0,1
SPANG,0,0,1,1
SPARKY,0,0,1,0
SPARMO,0,1,0,0
SPARTABUTTE,0,0,1,0
SPARTANBURG,0,0,1,1
SPEARS MOUNTAIN,0,0,0,1
SPENARD,0,0,0,1
SPESSARD,0,0,0,1
SPINEKOP,0,0,1,1
SPRAGUERIVER,0,0,1,0
SPRIGGS,0,0,1,1
ST. ALBANS,0,0,0,1
ST. ANTHONY,0,0,1,0
ST. MARYS,0,0,0,1
STAINKY,0,0,0,1
STALEY,0,0,1,1
STARGULCH,0,0,1,1
STARMAN,0,0,1,0
STATE,0,0,1,1
SUBWELL,0,0,0,1
STATLER,0,0,0,1
STEADMAN,0,0,1,1
STEARNS,0,0,0,1
STEMPLE,0,0,1,0
STILSON,0,0,1,1
STRAWFIELD,0,0,0,1
STODA,0,0,0,1
STONEBARN,0,0,1,0
STONEMAN,0,0,1,0
STORYHILL,0,0,1,1
STOTT KNOB,0,0,1,1
STOUGH,0,0,0,1
STOVHO,0,0,0,1
STRAIGHTSTONE,0,0,1,1
STRETH,0,0,1,0
STRYKER,0,0,1,1
